A_1_ratio_scaled_AAG	A_2_ratio_scaled_AAG	A_3_ratio_scaled_AAG	A_4_ratio_scaled_AAG	A_5_ratio_scaled_AAG	A_6_ratio_scaled_AAG	S_1_ratio_scaled_AAG	S_2_ratio_scaled_AAG	S_3_ratio_scaled_AAG	S_4_ratio_scaled_AAG	S_5_ratio_scaled_AAG	L_1_ratio_scaled_AAG	L_2_ratio_scaled_AAG	L_3_ratio_scaled_AAG	L_4_ratio_scaled_AAG	L_5_ratio_scaled_AAG	V_1_ratio_scaled_AAG	V_2_ratio_scaled_AAG	V_3_ratio_scaled_AAG	V_4_ratio_scaled_AAG	V_5_ratio_scaled_AAG	A_AAG	V_AAG	S_AAG	L_AAG	group_AAG	FDR_active_A_AAG	FDR_active_S_AAG	FDR_active_L_AAG	FDR_active_V_AAG	A_mean_log_ratio_AAG	S_mean_log_ratio_AAG	L_mean_log_ratio_AAG	V_mean_log_ratio_AAG	A_1_ratio_scaled_CCT	A_2_ratio_scaled_CCT	A_3_ratio_scaled_CCT	A_4_ratio_scaled_CCT	A_5_ratio_scaled_CCT	A_6_ratio_scaled_CCT	S_1_ratio_scaled_CCT	S_2_ratio_scaled_CCT	S_3_ratio_scaled_CCT	S_4_ratio_scaled_CCT	S_5_ratio_scaled_CCT	L_1_ratio_scaled_CCT	L_2_ratio_scaled_CCT	L_3_ratio_scaled_CCT	L_4_ratio_scaled_CCT	L_5_ratio_scaled_CCT	V_1_ratio_scaled_CCT	V_2_ratio_scaled_CCT	V_3_ratio_scaled_CCT	V_4_ratio_scaled_CCT	V_5_ratio_scaled_CCT	A_CCT	V_CCT	S_CCT	L_CCT	group_CCT	FDR_active_A_CCT	FDR_active_S_CCT	FDR_active_L_CCT	FDR_active_V_CCT	A_mean_log_ratio_CCT	S_mean_log_ratio_CCT	L_mean_log_ratio_CCT	V_mean_log_ratio_CCT	A_CCT_activity	A_AAG_activity	A_fold	A_pvalue	A_qvalue	S_CCT_activity	S_AAG_activity	S_fold	S_pvalue	S_qvalue	L_CCT_activity	L_AAG_activity	L_fold	L_pvalue	L_qvalue	V_CCT_activity	V_AAG_activity	V_fold	V_pvalue	V_qvalue	qvalue_0_05_A	fold_1_5_A	active_A	final_sig_A	qvalue_0_05_S	fold_1_5_S	active_S	final_sig_S	qvalue_0_05_L	fold_1_5_L	active_L	final_sig_L	qvalue_0_05_V	fold_1_5_V	active_V	final_sig_V	group2
A2M	-0.722670268033751	0.0666585725742263	-0.234763566332405	-0.349842932174455	0.131640091558117	-0.745474256254823	0.739920331675616	-0.164600048378713	-0.421480976142534	-0.806547144909753	-1.31223561984555	-0.0915354436583651	0.105344587253437	0.0688017787495726	0.0739267431879324	0.305732148395997	0.041054667496362	0.426449585787659	-1.36435464205552	0.275937967623374	-0.631409631697902	0	0	0	1	promoter_candidate	1	1	1	1	-0.309075393110515	-0.392988691520186	0.0924539627857149	-0.250464410569206	-0.995453105462266	-0.877684465653937	-0.887244672697742	-1.09528413466405	-0.39813884267055	-1.05087843694114	0.123818571276438	0.697121479801387	-1.23075148108855	-0.809256153363688	-0.182806225136372	-0.529040011902326	0.04200574262152	-0.293901105147493	-0.42660739567136	-0.0373100761378832	-0.314820368144289	0.373168922237735	-0.53276776770108	-0.255810295011664	-0.557212417059344	0	0	0	1	promoter_candidate	1	1	1	1	-0.884113943014948	-0.280374761702156	-0.248970569247508	-0.257488385135728	-0.884113943014948	-0.309075393110515	0.575038549904433	0.00289212169220804	0.0132697348230722	-0.280374761702156	-0.392988691520186	-0.11261392981803	0.785310846958389	0.8437223975586	-0.248970569247508	0.0924539627857149	0.341424532033223	0.0103727489460537	0.012111892481919	-0.257488385135728	-0.250464410569206	0.00702397456652276	0.977633109312072	0.986486190508947	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0_0_0_1
AADAC	-0.445893305998751	-0.305873863401135	-1.74097574637689	-0.0337997163934338	-0.958260590691864	-1.10980808350523	-1.71925191365191	-0.650259106965503	-2.62951083557938	-3.47288356743737	-1.34954006963013	-0.105311650540059	0.095607793565366	0.0135002374830537	0.197611995513693	0.0908903465247088	-1.5859096159653	-2.70123704815349	-1.71766045865356	-3.26162130716302	-1.49120579717868	0	0	0	1	promoter_candidate	1	0	1	0	-0.765768551061218	-1.96428909865286	0.0584597445093524	-2.15152684542281	-1.22201516768961	-1.48493669772033	-0.950026858593834	-1.57044721073016	-1.60863370528693	-1.60855935341204	-2.33710768447411	-2.41980652760323	-0.822660699623196	-2.16565359103173	-2.10649399794029	-0.117956588340801	-0.092110120692899	-0.00975581770726028	-0.0467515741014748	0.0177633336621048	-1.53792173972691	-2.62435582817249	-1.57728040871841	-1.95310899989047	-1.28659251498319	0	0	0	1	promoter_candidate	0	0	1	0	-1.40743649890548	-1.97034450013451	-0.0497621534360661	-1.79585189829829	-1.40743649890548	-0.765768551061218	0.641667947844265	0.105838065306902	0.15430596437268	-1.97034450013451	-1.96428909865286	0.00605540148165495	0.993252199635872	0.994527234551964	-0.0497621534360661	0.0584597445093524	0.108221897945419	0.0785734972889037	0.0831578397358818	-1.79585189829829	-2.15152684542281	-0.355674947124519	0.212067742424579	0.325615824982621	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0_0_0_1
ABAT	2.50221689769411	1.95043192198414	0.346981943932908	1.88030602806485	2.47643035579953	2.11438091951142	1.92201724051527	3.07887748790351	2.96123752557934	3.01809710186785	-0.457609626167033	2.37955428500472	2.17431883508702	2.2948215794773	2.34894672689586	2.34889792769281	2.5963218880023	2.82065841737225	3.22582244487552	1.11371090540993	2.58072091509679	0	0	0	1	promoter_candidate	1	1	1	1	1.87845801116449	2.10452394593979	2.30930787083154	2.46744691415136	0.924327276789983	1.16254447912861	2.26880355394716	1.29490990534929	2.51264951281918	2.11347817749584	1.2872830840363	0.921210187694716	1.87393298248021	1.68666142551875	2.21172160439253	3.07477794025647	2.9767855693328	2.90704379831309	2.98788684388203	2.90172888624226	1.57345841700164	2.8869047952414	2.81672367732267	1.18068741685444	2.16677507132738	0	0	0	1	promoter_candidate	1	1	1	1	1.71278548425501	1.5961618568245	2.96964460760533	2.1249098755495	1.71278548425501	1.87845801116449	0.165672526909483	0.745275208472429	0.783442941520883	1.5961618568245	2.10452394593979	0.508362089115286	0.574235336991709	0.684867833109378	2.96964460760533	2.30930787083154	-0.660336736773789	9.8121762354561e-05	0.00022510286657811	2.1249098755495	2.46744691415136	0.342537038601853	0.16338494436479	0.270573793215576	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0_0_0_1
ACACB_tv1	-0.36369304603449	-0.451066717429601	-0.549031863173025	-0.739079429107916	-0.14856290567894	-0.535536785894353	-0.422952703031173	-1.51549321799672	-0.912995613912101	-0.986290674698068	-0.735867008677338	-0.895553351046239	-0.913812622015885	-0.950714897480945	-0.882118525215841	-0.921880333401067	-0.328632998620734	-0.997841073490679	-0.929899256212873	-1.07880856914414	-1.02755606225753	0	0	1	0	promoter_candidate	1	0	0	1	-0.464495124553054	-0.914719843663079	-0.912815945831995	-0.872547591945191	-1.04036882399365	-1.08661979964115	-1.23197172805887	-1.29738085123296	-1.30709158183222	-0.278848345692841	-2.19205585940973	-1.74315040628429	-0.827688575079268	-1.32897242481134	-1.04011011634004	-1.19580769486833	-1.45878300909768	-1.41918163663466	-1.4928426290025	-1.62725163599636	-1.08729948303662	-0.940755741587871	-1.59130097100694	-2.21476420511078	-1.23960963207627	0	0	1	0	promoter_candidate	0	0	0	0	-1.04038018840861	-1.42639547638493	-1.4387733211199	-1.41474600656369	-1.04038018840861	-0.464495124553054	0.57588506385556	0.0278988278136329	0.0556549506256615	-1.42639547638493	-0.914719843663079	0.511675632721855	0.188605657757584	0.337413791401182	-1.4387733211199	-0.912815945831995	0.525957375287909	0.00155146187173056	0.00207927879716467	-1.41474600656369	-0.872547591945191	0.542198414618504	0.0611813062554136	0.143739213491634	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0_0_1_0
ACACB_tv1ATG	-0.621323261615346	-0.381316086028892	-0.86266974770599	-0.519559162998056	-0.368076270132243	-0.647496444832516	-1.69376219548174	-1.17900422364636	-0.0843360501211501	-1.66563759141393	-1.5636234515192	-0.735590815020703	-0.842777216806916	-0.847307923285716	-0.832357848823854	-0.876447138872152	-0.589073838127668	-1.06536895740998	-1.32226486533272	-1.4508419540166	-0.682177541877183	0	0	1	0	promoter_candidate	1	0	0	0	-0.56674016221884	-1.23727270243648	-0.826896188561868	-1.02194543135283	-0.807024628579615	-0.544146003043382	-1.03750749509071	-1.24390028228697	-1.0540876915127	-0.96826525237508	-1.45472577213361	-2.49985236315775	-1.28014096102762	-2.15257435433366	-2.17233777424796	-0.856815765371557	-1.21044279491998	-1.38510721571308	-1.41766172704805	-1.35250337253744	-1.29824128965513	-0.912011561020768	-1.68056626022684	-1.80460309390351	-1.27725697909077	0	0	1	0	promoter_candidate	0	0	0	0	-0.942488558814744	-1.91192624498012	-1.24450617511802	-1.3945358367794	-0.942488558814744	-0.56674016221884	0.375748396595903	0.0169911024977555	0.0411585712678548	-1.91192624498012	-1.23727270243648	0.674653542543645	0.073325833856091	0.193223481107267	-1.24450617511802	-0.826896188561868	0.417609986556151	0.00718912531921729	0.00856109579998395	-1.3945358367794	-1.02194543135283	0.372590405426574	0.0659093128643149	0.14944553498304	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0_0_1_0
ACACB_tv2	-0.548456664572915	-0.326408887844582	-0.0818423662072351	0.000187850114589134	-0.266843113754964	-0.319473068998686	-1.49505550457287	-2.63461769502956	-1.5161557543742	-2.20343064312475	-2.90850678517219	-1.81475425812906	-2.02956805684726	-1.88061208799473	-1.7366862989706	-1.84279719788322	-0.452151552621843	-1.21803851169514	-1.0446535264518	-0.417825151610655	-0.552856764338973	0	0	1	0	promoter_candidate	1	0	0	1	-0.257139375210632	-2.15155327645472	-1.86088357996498	-0.737105101343682	-0.0628249788828656	-0.349611806631123	-0.0220016869894095	-0.414457050554761	-0.0169034385734862	-0.0188401789912832	-1.72107146393195	-2.91354800467539	-3.52065700822955	-1.6978419480051	-1.98437115648836	-2.98514870646366	-2.50266651885863	-2.73426502524483	-2.7072766832425	-2.6639793026899	-0.54556302395499	-0.66382664712275	-0.446779782075899	-0.499366082799028	-0.442964864554034	0	0	1	0	promoter_candidate	1	0	0	1	-0.147439856770488	-2.36749791626607	-2.7186672472999	-0.51970008010134	-0.147439856770488	-0.257139375210632	-0.109699518440144	0.431025308801119	0.489373713049306	-2.36749791626607	-2.15155327645472	0.215944639811351	0.688757536195114	0.776345199757498	-2.7186672472999	-1.86088357996498	0.857783667334928	0.00166865554676024	0.00222107734893001	-0.51970008010134	-0.737105101343682	-0.217405021242342	0.223227461357638	0.339410175163661	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0_0_1_0
ACMSD	-3.14214369493285	-1.02321497614678	-1.40829829093219	-1.37900047767943	-0.986840703656374	-1.37065859168177	-2.99790582790524	-2.86163683636289	-1.21355640198436	-1.17606959800771	-2.57277220087739	0.0134364109665138	0.093788406675329	-0.104584536618459	-0.0590558729402313	-0.0457442219369612	-2.82486306179359	-3.26512686059827	-3.18918284496889	-0.436490762527949	-0.570877615912946	0	0	0	1	promoter_candidate	0	0	1	0	-1.55169278917157	-2.16438817302752	-0.0204319627707618	-2.05730822916033	-2.31893775119567	-1.96106015243369	-1.8338990263197	-1.36519714777943	-3.04280847064401	-2.87092993264326	-4.56451770732355	-4.25946114765408	-4.45359619195464	-3.4518201960337	-2.16645750874289	0.415375720030248	0.352852041648773	0.390506290671813	0.465216084647099	0.503397840897573	-2.54212438671239	-2.35027949429861	-2.43047544589216	-2.8736560177777	-2.49715416446396	0	0	0	1	promoter_candidate	0	0	1	0	-2.23213874683596	-3.77917055034177	0.425469595579101	-2.53873790182896	-2.23213874683596	-1.55169278917157	0.680445957664395	0.17089869553536	0.224412428480776	-3.77917055034177	-2.16438817302752	1.61478237731425	0.0547171532364511	0.159847863387385	0.425469595579101	-0.0204319627707618	-0.445901558349863	0.00108819386411383	0.00150494896100848	-2.53873790182896	-2.05730822916033	0.481429672668635	0.533030790412936	0.629945479578924	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0_0_0_1
ACSM2A	-1.67373552241418	-0.323259870941711	-1.21573209045422	-1.48263276495329	-0.883928446679031	-1.61589486439418	0.846275827965949	-1.45966950764424	-2.14941994157077	-0.518660845844726	-1.1396971834582	0.129092756485591	0.16828952709368	0.275282517161405	0.231555585160748	0.291096398164086	-1.25548022254346	-1.22930795522424	-0.870032242231363	-1.7934062863155	-1.26606017150276	0	0	0	1	promoter_candidate	0	0	1	0	-1.19919725997277	-0.884234330110399	0.219063356813102	-1.28285737556347	-1.53618472904036	-1.28775304172861	-2.09872305607801	-2.09377894502894	-2.02699252252646	-1.67837921959848	-1.24066498255248	-1.65248113069603	-2.0129249648423	-1.4196597357612	-1.18742403163094	0.894109245760253	0.773489588593978	0.83584821649151	0.832275797982927	0.895806503660409	-1.08489761076501	-2.28188429066017	-1.91237616249295	-0.313610495223133	-1.15734581440906	0	0	0	1	promoter_candidate	0	0	1	0	-1.78696858566681	-1.50263096909659	0.846305870497815	-1.35002287471006	-1.78696858566681	-1.19919725997277	0.587771325694041	0.0388509680377862	0.0706381237050658	-1.50263096909659	-0.884234330110399	0.618396638986189	0.203295372047968	0.35633795549981	0.846305870497815	0.219063356813102	-0.627242513684714	5.98900776356798e-05	0.000169870038384837	-1.35002287471006	-1.28285737556347	0.0671654991465964	0.893089119073017	0.931296140209831	0	2	0	0	0	2	0	0	1	1	1	1	0	0	0	0	0_0_0_1
ACSM2B	-1.42734912147121	-2.10456894789886	-1.40624298076443	-1.63349224357466	-1.49142099564443	-1.81603922737119	-1.53185572683524	-0.278021934744472	-1.51231357806262	-1.46230325721331	-1.55385957873329	0.0476581396868798	0.0987882835818888	0.0882454820900398	0.142990491288703	0.138999078665915	-0.792702996570303	-1.1432358543075	-0.797296779647839	-0.853482458012211	-1.27998650282469	0	0	0	1	promoter_candidate	0	0	1	1	-1.64651891945413	-1.26767081511779	0.103336295062685	-0.973340918272509	-2.17925500482702	-1.72506868738543	-1.9403403885706	-1.70942740224467	-1.77174078682534	-1.84369289934861	0.318181856490541	-2.33077971941659	-1.47484017205639	-1.70234678100704	-1.88983429149557	0.76090560361913	0.731624241990503	0.727507385731049	0.697705518999173	0.806167053748512	-0.870106521628384	-1.71535494247934	-1.92897175662315	-1.20752055784634	-1.7291621790112	0	0	0	1	promoter_candidate	0	0	1	0	-1.86158752820028	-1.41592382149701	0.744781960817673	-1.49022319151768	-1.86158752820028	-1.64651891945413	0.215068608746148	0.245527822404319	0.300646313148145	-1.41592382149701	-1.26767081511779	0.14825300637922	0.822884036537541	0.87445442574834	0.744781960817673	0.103336295062685	-0.641445665754988	1.57810602964785e-05	7.94143679435694e-05	-1.49022319151768	-0.973340918272509	0.516882273245174	0.041094862134722	0.115302131169364	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0_0_0_1
ACSM5	-1.05835743265277	-0.762886026475721	-0.619059622523266	-0.865540653855611	-0.973639875009678	-0.638236080986859	-0.786114784399643	-0.455740779453074	-0.917805548660701	-1.03084592852545	-1.0649466798541	-0.760048255183298	-0.699089668915879	-0.669755433562501	-0.674575798651184	-0.543614849190526	-0.821596766225602	-0.805087093686621	-0.956172715093807	-0.924966212449611	-0.843070718716904	0	0	0	1	promoter_candidate	1	0	1	1	-0.819619948583984	-0.851090744178595	-0.669416801100678	-0.870178701234509	-1.49805358206781	-1.31128722251802	-1.31425960326126	-1.35194161002559	-1.18972645813143	-1.38759874103719	-1.06154842194542	-1.17567442136308	-1.36379132568133	-1.54344886619481	-1.02757147491558	-0.80778186726942	-0.732390177397796	-0.826623650761651	-0.796278605827303	-0.713798576053971	-1.51875225987396	-0.92864356468038	-1.05562556637317	-1.57319789547349	-1.4651805589766	0	0	0	1	promoter_candidate	0	0	0	0	-1.34214453617355	-1.23440690202004	-0.775374575462028	-1.30827996907552	-1.34214453617355	-0.819619948583984	0.522524587589566	0.00114246482897895	0.00810111424185074	-1.23440690202004	-0.851090744178595	0.383316157841449	0.0392300197495881	0.130210278317782	-0.775374575462028	-0.669416801100678	0.105957774361351	0.0192724749182016	0.0216295401959672	-1.30827996907552	-0.870178701234509	0.438101267841011	0.0307565768842345	0.0975208535353775	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0_0_0_1
