A_1_ratio	A_2_ratio	A_3_ratio	A_4_ratio	A_5_ratio	A_6_ratio	S_1_ratio	S_2_ratio	S_3_ratio	S_4_ratio	S_5_ratio	L_1_ratio	L_2_ratio	L_3_ratio	L_4_ratio	L_5_ratio	V_1_ratio	V_2_ratio	V_3_ratio	V_4_ratio	V_5_ratio	Promoters	enhancer_type	group	raw_names	A	V	S	L	L_DESeq2_Active	A_DESeq2_Active	S_DESeq2_Active	V_DESeq2_Active	A_1_ratio	A_2_ratio	A_3_ratio	A_4_ratio	A_5_ratio	A_6_ratio	S_1_ratio	S_2_ratio	S_3_ratio	S_4_ratio	S_5_ratio	L_1_ratio	L_2_ratio	L_3_ratio	L_4_ratio	L_5_ratio	V_1_ratio	V_2_ratio	V_3_ratio	V_4_ratio	V_5_ratio
A2M:::AAG	-0.517370152489885	0.276013589401601	0.106155652913496	0.00948833866365719	0.352122208757624	-0.584008610255165	0.557749161405036	-0.506971185256501	-0.747366413594084	-1.14179152235582	-1.67737128356362	0.0748945193203945	0.242625864061916	0.209510925255185	0.174197954243493	0.36436263546297	-0.126408346165721	0.208148079142063	-1.42040488328216	0.258225781781457	-0.838857199118016	A2M	AAG	promoter_candidate	promoter_candidate533	0	0	0	1	1	1	0	1	-0.517370152489885	0.276013589401601	0.106155652913496	0.00948833866365719	0.352122208757624	-0.584008610255165	0.557749161405036	-0.506971185256501	-0.747366413594084	-1.14179152235582	-1.67737128356362	0.0748945193203945	0.242625864061916	0.209510925255185	0.174197954243493	0.36436263546297	-0.126408346165721	0.208148079142063	-1.42040488328216	0.258225781781457	-0.838857199118016
A2M:::CCT	-0.790037229695738	-0.668200435385342	-0.546201862330005	-0.735826622232717	-0.177541498139426	-0.889295692411932	-0.0582360847685425	0.35482403765242	-1.55647044162548	-1.14439060915488	-0.547935302876621	-0.362504563365723	0.179386966772688	-0.153088260988796	-0.326229807841332	0.0214231666183046	-0.482166692316817	0.154970019948169	-0.588759155448209	-0.273406024931526	-0.764558156107833	A2M	CCT	promoter_candidate	promoter_candidate533	0	0	0	1	1	0	0	1	-0.790037229695738	-0.668200435385342	-0.546201862330005	-0.735826622232717	-0.177541498139426	-0.889295692411932	-0.0582360847685425	0.35482403765242	-1.55647044162548	-1.14439060915488	-0.547935302876621	-0.362504563365723	0.179386966772688	-0.153088260988796	-0.326229807841332	0.0214231666183046	-0.482166692316817	0.154970019948169	-0.588759155448209	-0.273406024931526	-0.764558156107833
AADAC:::AAG	-0.240630924140256	-0.0965426625255944	-1.39999787393115	0.325489283072282	-0.737766604842094	-0.948346095321703	-1.9012873629891	-0.99261554127603	-2.95503722485672	-3.80730685631462	-1.71463677542388	0.0610779580707691	0.232847913327641	0.154168971431301	0.297840770526078	0.149481744236238	-1.75326668411606	-2.91922127471927	-1.77367257750379	-3.27890004137869	-1.69858306373647	AADAC	AAG	promoter_candidate	promoter_candidate674	0	0	0	1	1	0	0	0	-0.240630924140256	-0.0965426625255944	-1.39999787393115	0.325489283072282	-0.737766604842094	-0.948346095321703	-1.9012873629891	-0.99261554127603	-2.95503722485672	-3.80730685631462	-1.71463677542388	0.0610779580707691	0.232847913327641	0.154168971431301	0.297840770526078	0.149481744236238	-1.75326668411606	-2.91922127471927	-1.77367257750379	-3.27890004137869	-1.69858306373647
AADAC:::CCT	-1.01665362202572	-1.27548990594578	-0.609043027560303	-1.21103272994861	-1.38804764589021	-1.44701465521334	-2.51906405678119	-2.76193875039355	-1.14848653653043	-2.50072105802567	-2.47149236936181	0.0485224551854739	0.0452219490900785	0.131003051705687	0.0535696271739764	0.076445424337386	-1.70526512301326	-2.84241560294887	-1.63328160695373	-1.97067862427951	-1.49396448633066	AADAC	CCT	promoter_candidate	promoter_candidate674	0	0	0	1	1	0	0	0	-1.01665362202572	-1.27548990594578	-0.609043027560303	-1.21103272994861	-1.38804764589021	-1.44701465521334	-2.51906405678119	-2.76193875039355	-1.14848653653043	-2.50072105802567	-2.47149236936181	0.0485224551854739	0.0452219490900785	0.131003051705687	0.0535696271739764	0.076445424337386	-1.70526512301326	-2.84241560294887	-1.63328160695373	-1.97067862427951	-1.49396448633066
ABAT:::AAG	2.70746124431356	2.15978399456515	0.688130146777351	2.23962263118072	2.6968814184239	2.27581467948767	1.73990973469057	2.73645512739897	2.63529663437953	2.68277193663309	-0.821459260535604	2.54592211235181	2.31154705080176	2.43547310301557	2.44916141346188	2.40747245114258	2.42884146791911	2.6023282881407	3.16964525217569	1.09614204588009	2.37323199979164	ABAT	AAG	promoter_candidate	promoter_candidate686	0	0	0	1	1	1	1	1	2.70746124431356	2.15978399456515	0.688130146777351	2.23962263118072	2.6968814184239	2.27581467948767	1.73990973469057	2.73645512739897	2.63529663437953	2.68277193663309	-0.821459260535604	2.54592211235181	2.31154705080176	2.43547310301557	2.44916141346188	2.40747245114258	2.42884146791911	2.6023282881407	3.16964525217569	1.09614204588009	2.37323199979164
ABAT:::CCT	1.12975811468838	1.37201291142342	2.60975652395425	1.65432442331575	2.73316515169451	2.27497155592913	1.10528426783432	0.579093273368932	1.54813663118266	1.35151769017889	1.84657650702891	3.24121368571691	3.11407599362459	3.04776267892284	3.08816724021535	2.96037163637251	1.40612007280869	2.66863629777137	2.76063400424334	1.16312425256161	1.95937049696411	ABAT	CCT	promoter_candidate	promoter_candidate686	0	0	0	1	1	1	1	1	1.12975811468838	1.37201291142342	2.60975652395425	1.65432442331575	2.73316515169451	2.27497155592913	1.10528426783432	0.579093273368932	1.54813663118266	1.35151769017889	1.84657650702891	3.24121368571691	3.11407599362459	3.04776267892284	3.08816724021535	2.96037163637251	1.40612007280869	2.66863629777137	2.76063400424334	1.16312425256161	1.95937049696411
ABCC3:::AAG	1.11728018733779	-0.697673784508065	1.25656406453262	2.40141534862494	-2.41944539445748	1.57324992239091	-3.14980183889342	-0.727656849458106	-3.14980183889342	-3.14980183889342	-3.14980183889342	0.777380488676018	0.998493233359816	1.22348189820043	1.2384004213776	1.49528478779086	-3.14980183889342	0.741107614669185	0.00227765380094775	-3.14980183889342	-0.952580686236673	ABCC3	AAG	promoter_candidate	promoter_candidate755	0	0	0	1	1	1	0	0	1.11728018733779	-0.697673784508065	1.25656406453262	2.40141534862494	-2.41944539445748	1.57324992239091	-3.14980183889342	-0.727656849458106	-3.14980183889342	-3.14980183889342	-3.14980183889342	0.777380488676018	0.998493233359816	1.22348189820043	1.2384004213776	1.49528478779086	-3.14980183889342	0.741107614669185	0.00227765380094775	-3.14980183889342	-0.952580686236673
ABCC3:::CCT	-2.24757224949128	-1.08297604695321	-2.05854751836143	-2.40288559664039	-0.741948904230784	0.732727954272332	1.56918267292302	-2.63057406536368	-3.53510410133856	-2.63341366261853	-3.53510410133856	0.400477843481393	0.366337571365111	0.296289893389006	0.3225417064018	0.653585162151351	1.56713777942699	-1.96153860948961	-3.53510410133856	1.65610782322862	-0.861790216676572	ABCC3	CCT	promoter_candidate	promoter_candidate755	0	0	0	1	1	0	0	0	-2.24757224949128	-1.08297604695321	-2.05854751836143	-2.40288559664039	-0.741948904230784	0.732727954272332	1.56918267292302	-2.63057406536368	-3.53510410133856	-2.63341366261853	-3.53510410133856	0.400477843481393	0.366337571365111	0.296289893389006	0.3225417064018	0.653585162151351	1.56713777942699	-1.96153860948961	-3.53510410133856	1.65610782322862	-0.861790216676572
ACACB_tv1:::AAG	-0.158426857749055	-0.241720966624964	-0.208127971539094	-0.379761831393234	0.0719072544672944	-0.374103203314132	-0.605126372006382	-1.8578733123533	-1.23891706488979	-1.32160035242133	-1.10114481259251	-0.729124187483485	-0.776530195422284	-0.810004696798755	-0.78184713821046	-0.863246996957631	-0.496117234533663	-1.21614268143827	-0.986023889431299	-1.09652180656981	-1.23504231123067	ACACB_tv1	AAG	promoter_candidate	promoter_candidate397	0	0	1	0	0	1	0	0	-0.158426857749055	-0.241720966624964	-0.208127971539094	-0.379761831393234	0.0719072544672944	-0.374103203314132	-0.605126372006382	-1.8578733123533	-1.23891706488979	-1.32160035242133	-1.10114481259251	-0.729124187483485	-0.776530195422284	-0.810004696798755	-0.78184713821046	-0.863246996957631	-0.496117234533663	-1.21614268143827	-0.986023889431299	-1.09652180656981	-1.23504231123067
ACACB_tv1:::CCT	-0.834991026383771	-0.87716368118321	-0.890955453713532	-0.937953030023784	-1.08650310555899	-0.117315147783052	-2.37406986226514	-2.08540688878569	-1.15350443205407	-1.66415966400326	-1.40526665309038	-1.0292753965387	-1.32139485108634	-1.27836639096988	-1.39246429244653	-1.56851039287545	-1.2546644603572	-1.15895236000521	-1.64730287879754	-2.2323351260018	-1.44698251635746	ACACB_tv1	CCT	promoter_candidate	promoter_candidate397	0	0	1	0	0	0	0	0	-0.834991026383771	-0.87716368118321	-0.890955453713532	-0.937953030023784	-1.08650310555899	-0.117315147783052	-2.37406986226514	-2.08540688878569	-1.15350443205407	-1.66415966400326	-1.40526665309038	-1.0292753965387	-1.32139485108634	-1.27836639096988	-1.39246429244653	-1.56851039287545	-1.2546644603572	-1.15895236000521	-1.64730287879754	-2.2323351260018	-1.44698251635746
