A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled
A2M:::AAG	-0.722670268033751	0.0666585725742263	-0.234763566332405	-0.349842932174455	0.131640091558117	-0.745474256254823	0.739920331675616	-0.164600048378713	-0.421480976142534	-0.806547144909753	-1.31223561984555	-0.0915354436583651	0.105344587253437	0.0688017787495726	0.0739267431879324	0.305732148395997	0.041054667496362	0.426449585787659	-1.36435464205552	0.275937967623374	-0.631409631697902
A2M:::CCT	-0.995453105462266	-0.877684465653937	-0.887244672697742	-1.09528413466405	-0.39813884267055	-1.05087843694114	0.123818571276438	0.697121479801387	-1.23075148108855	-0.809256153363688	-0.182806225136372	-0.529040011902326	0.04200574262152	-0.293901105147493	-0.42660739567136	-0.0373100761378832	-0.314820368144289	0.373168922237735	-0.53276776770108	-0.255810295011664	-0.557212417059344
AADAC:::AAG	-0.445893305998751	-0.305873863401135	-1.74097574637689	-0.0337997163934338	-0.958260590691864	-1.10980808350523	-1.71925191365191	-0.650259106965503	-2.62951083557938	-3.47288356743737	-1.34954006963013	-0.105311650540059	0.095607793565366	0.0135002374830537	0.197611995513693	0.0908903465247088	-1.5859096159653	-2.70123704815349	-1.71766045865356	-3.26162130716302	-1.49120579717868
AADAC:::CCT	-1.22201516768961	-1.48493669772033	-0.950026858593834	-1.57044721073016	-1.60863370528693	-1.60855935341204	-2.33710768447411	-2.41980652760323	-0.822660699623196	-2.16565359103173	-2.10649399794029	-0.117956588340801	-0.092110120692899	-0.00975581770726028	-0.0467515741014748	0.0177633336621048	-1.53792173972691	-2.62435582817249	-1.57728040871841	-1.95310899989047	-1.28659251498319
ABAT:::AAG	2.50221689769411	1.95043192198414	0.346981943932908	1.88030602806485	2.47643035579953	2.11438091951142	1.92201724051527	3.07887748790351	2.96123752557934	3.01809710186785	-0.457609626167033	2.37955428500472	2.17431883508702	2.2948215794773	2.34894672689586	2.34889792769281	2.5963218880023	2.82065841737225	3.22582244487552	1.11371090540993	2.58072091509679
ABAT:::CCT	0.924327276789983	1.16254447912861	2.26880355394716	1.29490990534929	2.51264951281918	2.11347817749584	1.2872830840363	0.921210187694716	1.87393298248021	1.68666142551875	2.21172160439253	3.07477794025647	2.9767855693328	2.90704379831309	2.98788684388203	2.90172888624226	1.57345841700164	2.8869047952414	2.81672367732267	1.18068741685444	2.16677507132738
ACACB_tv1:::AAG	-0.36369304603449	-0.451066717429601	-0.549031863173025	-0.739079429107916	-0.14856290567894	-0.535536785894353	-0.422952703031173	-1.51549321799672	-0.912995613912101	-0.986290674698068	-0.735867008677338	-0.895553351046239	-0.913812622015885	-0.950714897480945	-0.882118525215841	-0.921880333401067	-0.328632998620734	-0.997841073490679	-0.929899256212873	-1.07880856914414	-1.02755606225753
ACACB_tv1:::CCT	-1.04036882399365	-1.08661979964115	-1.23197172805887	-1.29738085123296	-1.30709158183222	-0.278848345692841	-2.19205585940973	-1.74315040628429	-0.827688575079268	-1.32897242481134	-1.04011011634004	-1.19580769486833	-1.45878300909768	-1.41918163663466	-1.4928426290025	-1.62725163599636	-1.08729948303662	-0.940755741587871	-1.59130097100694	-2.21476420511078	-1.23960963207627
ACACB_tv1ATG:::AAG	-0.621323261615346	-0.381316086028892	-0.86266974770599	-0.519559162998056	-0.368076270132243	-0.647496444832516	-1.69376219548174	-1.17900422364636	-0.0843360501211501	-1.66563759141393	-1.5636234515192	-0.735590815020703	-0.842777216806916	-0.847307923285716	-0.832357848823854	-0.876447138872152	-0.589073838127668	-1.06536895740998	-1.32226486533272	-1.4508419540166	-0.682177541877183
ACACB_tv1ATG:::CCT	-0.807024628579615	-0.544146003043382	-1.03750749509071	-1.24390028228697	-1.0540876915127	-0.96826525237508	-1.45472577213361	-2.49985236315775	-1.28014096102762	-2.15257435433366	-2.17233777424796	-0.856815765371557	-1.21044279491998	-1.38510721571308	-1.41766172704805	-1.35250337253744	-1.29824128965513	-0.912011561020768	-1.68056626022684	-1.80460309390351	-1.27725697909077
