L_1	L_2	L_3	L_4	L_5	L2_1	L2_2,	L2_3	L2_4	L2_5
A2M:::AAG	-0.0915354436583651	0.105344587253437	0.0688017787495726	0.0739267431879324	0.305732148395997	0.0852855800774752	0.263327766512547	0.114396877535923	0.0352725062026275	0.282858001646244
A2M:::CCT	-0.529040011902326	0.04200574262152	-0.293901105147493	-0.42660739567136	-0.0373100761378832	-0.227941424351208	0.554268551759822	0.0598076825356995	0.0457757783867069	0.261315191272708
AADAC:::AAG	-0.105311650540059	0.095607793565366	0.0135002374830537	0.197611995513693	0.0908903465247088	0.170645568639353	0.144221083973073	0.351698959146142	0.368546299609274	0.387698857049462
AADAC:::CCT	-0.117956588340801	-0.092110120692899	-0.00975581770726028	-0.0467515741014748	0.0177633336621048	0.407968407834879	0.449144265563095	0.698966834224441	0.535316717189999	0.617533357967877
ABAT:::AAG	2.37955428500472	2.17431883508702	2.2948215794773	2.34894672689586	2.34889792769281	1.64910151439971	0.894359229109572	1.66595322957273	1.40886400368703	1.56782842303149
ABAT:::CCT	3.07477794025647	2.9767855693328	2.90704379831309	2.98788684388203	2.90172888624226	2.22816854902681	2.20086854061567	2.52363008779282	2.62997233260347	2.24431504184886
ABCC3:::AAG	0	0	0	0	0	-0.299637264513234	-0.474839403638269	-0.0911698782619702	0.101724761088998	0.832895218211612
ACACB_tv1:::AAG	-0.895553351046239	-0.913812622015885	-0.950714897480945	-0.882118525215841	-0.921880333401067	-0.727781241418479	-0.788362326744945	-0.808622529507778	-0.818081422472037	-0.943766873539175
ACACB_tv1:::CCT	-1.19580769486833	-1.45878300909768	-1.41918163663466	-1.4928426290025	-1.62725163599636	-0.593635319388865	-0.908879967583335	-0.846826760366727	-0.960534404070335	-1.16035852628873
ACACB_tv1ATG:::AAG	-0.735590815020703	-0.842777216806916	-0.847307923285716	-0.832357848823854	-0.876447138872152	-0.527627862294886	-0.748603805355455	-0.833185328307553	-0.765240262272552	-0.840656518742553
ACACB_tv1ATG:::CCT	-0.856815765371557	-1.21044279491998	-1.38510721571308	-1.41766172704805	-1.35250337253744	-0.280713908966493	-0.59102702215884	-0.854102743146429	-0.940946333570709	-0.852506916215507
ACACB_tv2:::AAG	-1.81475425812906	-2.02956805684726	-1.88061208799473	-1.7366862989706	-1.84279719788322	-1.61022134534734	-1.86791636997214	-1.66544663946746	-1.5472267340337	-1.77879320626828
ACACB_tv2:::CCT	-2.98514870646366	-2.50266651885863	-2.73426502524483	-2.7072766832425	-2.6639793026899	-2.42548892072118	-1.8503962361107	-2.24791043805287	-2.17746904769964	-2.25955701399204
ACMSD:::AAG	0.0134364109665138	0.093788406675329	-0.104584536618459	-0.0590558729402313	-0.0457442219369612	0.0673668035356667	0.153014020640921	0.133113289817906	0.132514731649094	0.0944927272889332
ACMSD:::CCT	0.415375720030248	0.352852041648773	0.390506290671813	0.465216084647099	0.503397840897573	0.951343331911256	0.807053143336594	0.941536482757908	1.06106339773795	1.05413477761895
ACSM2A:::AAG	0.129092756485591	0.16828952709368	0.275282517161405	0.231555585160748	0.291096398164086	0.402088860763569	0.487211613177545	0.38084534676916	0.342924326804368	0.295407859256502
ACSM2A:::CCT	0.894109245760253	0.773489588593978	0.83584821649151	0.832275797982927	0.895806503660409	1.35405600109807	1.1226706419521	1.26259710125455	1.25151841400328	1.22751264366945
ACSM2B:::AAG	0.0476581396868798	0.0987882835818888	0.0882454820900398	0.142990491288703	0.138999078665915	0.203614686008507	0.25947111294274	0.198844644640886	0.200613923130932	0.138298076377906
ACSM2B:::CCT	0.76090560361913	0.731624241990503	0.727507385731049	0.697705518999173	0.806167053748512	1.24841207146809	1.07374612152953	0.959194265042157	1.12444717543138	1.1228290633289
ACSM5:::AAG	-0.760048255183298	-0.699089668915879	-0.669755433562501	-0.674575798651184	-0.543614849190526	-0.82140523720022	-0.704931626238091	-0.695811089959865	-0.768897173447912	-0.679744543624047
ACSM5:::CCT	-0.80778186726942	-0.732390177397796	-0.826623650761651	-0.796278605827303	-0.713798576053971	-0.502845912188865	-0.395710117010942	-0.532214503066065	-0.43405647844691	-0.478903444195864
ACTA1:::AAG	-0.0742527727465975	-0.0913598966961186	0.064187524996172	0.0876167076130088	0.0915466507658202	-0.438667327116377	-0.612337670261593	-0.461014493715719	-0.411014030455024	-0.392301901279382
ACTA1:::CCT	-0.808974225653159	-0.677418998731632	-0.765127596400953	-0.767629157316332	-0.66221229223836	-0.999212846677716	-0.734822725635084	-0.429802990945975	-0.787552252115717	-0.853408580119135
ACTA2:::AAG	-0.938863068687383	-0.811489926522186	-0.840341285416313	-0.811312075054348	-0.676300680510592	-0.948904726756819	-0.774877941371146	-0.854995407018797	-0.971184423620864	-0.790216679877666
ACTA2:::CCT	-1.62599399262572	-1.57836992043677	-1.62831897266217	-1.6182002546144	-1.50066044088706	-1.31075006929294	-1.17258079541586	-1.24841517088997	-1.2475674107917	-1.16460822889982
ACTC1:::AAG	-1.09512188671518	-0.870047853711309	-0.984451497295787	-0.9024798672337	-0.924911601393156	-1.21152453048832	-1.13695800243212	-1.21813080923836	-1.2320907620953	-1.2038860349354
ACTC1:::CCT	-1.77401344592483	-1.68174356355215	-1.80018006830139	-1.86923704583074	-1.79913136942927	-1.74633647521524	-1.74532820953712	-1.46105302577397	-1.76237457927299	-1.86430692665843
ACTN1:::AAG	-1.02128475351143	-0.97834425622334	-0.792071355731891	-0.78380085469155	-0.808331602614011	-1.74537293325499	-1.57962318743991	-1.41822117950587	-1.36002904291136	-1.31071855701669
ACTN1:::CCT	-2.22093824363392	-1.8945206241863	-1.80469825379885	-1.82545694317322	-1.89689971093606	-2.35480226202453	-1.90126070379321	-2.03754434885681	-1.97399662177999	-2.05521243934895
ACTN3:::AAG	-0.485793424007348	-0.42491446561284	-0.349345403814223	-0.37723323440974	-0.282976261488664	-0.562374323671787	-0.648697019887758	-0.54906207389874	-0.622619144687897	-0.649155550282883
ACTN3:::CCT	-1.14184585420276	-1.10832153233145	-1.11782921024447	-1.19225307051655	-0.998962730723324	-1.03659436308389	-1.08478651187953	-0.82168311425197	-1.03975473273983	-0.907683598376183
ADAMTS1:::AAG	1.9888179888047	2.10238240176144	2.15896392072548	2.2940912799891	2.2386898364992	1.49877063976449	1.59371393164405	1.6525987017721	1.50245205822443	1.60965614610141
ADAMTS1:::CCT	2.7996167239527	2.80059001250991	2.72608145816778	2.75766942344941	2.83741763842712	2.35942009932577	2.33056590698864	2.41847320963515	2.27620065539689	2.27460067914834
ADH1A:::AAG	-0.468742185910835	-0.0759148809813257	-0.34049883744506	-0.19746075436743	-0.0787612690343906	-0.303030893457539	-0.175326980563215	-0.182982401974746	-0.280454479997113	-0.0681962303669867
ADH1A:::CCT	-0.277325865908532	-0.201116390865682	0.0107780440483653	-0.0689248643844133	0.120540811690818	0.197013139582852	0.231308603348406	0.772516129908111	0.341021348319704	0.640110040572498
ADH1B:::AAG	-0.491865541080672	-0.409807561526249	-0.397624163355889	-0.295627217419935	-0.38565086670795	-0.0512864406666572	-0.229400754278535	-0.42675624900269	-0.217675926602716	-0.510495535108778
ADH1B:::CCT	-0.370163312760413	-0.265274009108274	-0.416822711289184	-0.347285189956342	-0.139527180147786	0.28707185158585	0.22511444522868	-0.162702201797232	0.0176385016222548	0.351329394038734
ADH1C:::AAG	-0.195397119424077	-0.281049117458242	-0.386862614586256	-0.155661110160385	-0.221479559290541	0.215765732983648	0.0191323431547535	-0.233353173033827	-0.122825496302697	0.00949731406293872
ADH1C:::CCT	-0.433719083116632	-0.459680431481325	-0.560164919287591	-0.459988262795133	-0.465111637356231	0.102913088824147	-0.0370043695980468	-0.110264044112297	0.201364163473972	-0.0110071571562863
ADH4:::AAG	-1.93537124624796	-1.5484392036874	-1.50985755217234	-1.05854561087589	-1.45199105560365	-1.40386753685645	-0.952528127599484	-1.35919110732451	-0.810554841789839	-1.57725330424873
ADH4:::CCT	-1.97170695705194	-1.65364430543458	-1.64086531720211	-1.43042922874521	-1.68398017559	-1.32442071976784	-1.11823924620025	-0.893831003240662	-0.689571148370709	-1.61709855073159
ADH6:::AAG	1.71983174959614	1.73734084876957	1.78201514326904	1.78075658450921	1.82780270633102	1.86503863014731	1.71450752733183	1.68596480468523	1.67824890695922	1.67337819536254
