AAV_DNA_1	AAV_DNA_2	AAV_DNA_3	AAV_DNA_4	AAV_DNA_5	Liver_DNA_1	Liver_DNA_2	Liver_DNA_3	Liver_DNA_4	Liver_DNA_5	A_1	A_2	A_3	A_4	A_5	A_6	S_1	S_2	S_3	S_4	S_5	L_1	L_2	L_3	L_4	L_5	V_1	V_2	V_3	V_4	V_5	K_1	K_2	K_3	K_4	K_5	LA_1	LA_2	LA_3	LA_4	LA_5	LB_1	LB_2	LB_3	LB_4	LB_5
A2M:::CCT	3405	3270	2940	3174	2739	373	258	387	486	428	264	247	253	221	295	149	272	323	98	114	111	1924	2771	2316	2013	3291	66	124	74	87	72	162	338	78	88	4	520	285	561	541	562	401	244	365	444	295
AADAC:::AAG	2671	2540	2167	2574	2109	295	277	304	466	333	301	286	108	360	155	111	58	98	28	13	38	2009	2236	2230	2417	2797	21	11	25	8	29	363	365	7	44	229	422	46	378	242	128	154	340	128	76	136
AADAC:::CCT	4297	4283	3719	4262	3617	420	333	398	593	457	297	213	319	209	167	133	64	48	172	58	38	3373	3323	3716	3453	4502	37	20	47	35	57	61	357	95	2	67	275	167	761	382	157	157	97	78	30	52
ABAT:::AAG	215	238	198	226	185	54	64	54	92	64	217	127	42	126	157	97	68	122	131	118	6	1048	878	1009	999	1245	36	49	73	16	46	213	27	0	78	121	103	23	144	84	58	49	57	20	3	5
ABAT:::CCT	311	318	307	326	272	84	64	65	87	84	102	104	233	119	229	138	62	38	87	66	60	2421	2188	2201	2220	2606	25	73	78	24	49	33	130	89	157	105	202	50	440	189	189	44	59	53	46	65
ABCC3:::AAG	123	125	86	113	106	33	36	43	53	30	38	8	34	77	1	32	0	5	0	0	0	160	186	231	229	354	0	7	4	0	2	50	91	1	47	24	38	106	18	14	12	57	2	2	24	40
ABCC3:::CCT	155	162	142	154	112	15	22	49	46	30	3	8	3	2	9	23	43	1	0	1	0	161	155	155	155	254	14	1	0	17	3	35	45	18	1	34	5	24	70	63	39	1	1	0	15	61
ABLIM2:::AAG	9	8	8	9	3	3	0	6	5	1	8	0	1	0	0	1	0	0	0	0	0	5	18	8	9	12	0	0	15	0	7	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ABLIM2:::CCT	17	13	5	14	8	0	2	4	1	2	1	0	0	0	9	0	1	0	0	0	0	3	6	5	2	6	0	0	0	0	0	0	7	0	0	0	10	0	0	0	0	0	0	0	0	0
ACACB_tv1:::AAG	13348	12351	10798	12169	10511	1557	1285	1706	2457	2035	1561	1266	1219	1079	1335	813	708	264	468	385	288	5680	5427	5586	5586	6774	249	182	214	187	198	362	543	391	237	421	718	556	1147	778	710	326	200	124	243	999
