name	type	others	A	V	S	L
HSP68_pro	NC_I	NC_I	0	0	0	0
EF1a_pro	PC	PC	1	1	1	1
PGK_pro	PC	PC	1	1	1	1
UBB_pro	PC	PC	1	1	1	1
cTNT_pro	promoter_candidate	PC_heart	0	1	0	0
mAlb_pro	promoter_candidate	PC_liver	0	0	0	1
MYL2	promoter_candidate	promoter_candidate1	0	1	0	0
DES	promoter_candidate	promoter_candidate2	0	1	0	0
MB	promoter_candidate	promoter_candidate3	0	1	0	0
MYH7	promoter_candidate	promoter_candidate4	0	1	0	0
TNNI3	promoter_candidate	promoter_candidate5	0	1	0	0
MYL3	promoter_candidate	promoter_candidate6	0	1	0	0
TNNC1	promoter_candidate	promoter_candidate7	0	0	1	0
TNNT2	promoter_candidate	promoter_candidate9	0	1	0	0
FABP3	promoter_candidate	promoter_candidate10	0	1	0	0
ACTC1	promoter_candidate	promoter_candidate11	1	0	0	0
ACTA1	promoter_candidate	promoter_candidate12	0	0	1	0
CRYAB	promoter_candidate	promoter_candidate13	0	1	0	0
COX6A2	promoter_candidate	promoter_candidate16	0	0	1	0
MYBPC3	promoter_candidate	promoter_candidate17	0	1	0	0
TPM1	promoter_candidate	promoter_candidate18	0	1	0	0
PTGDS	promoter_candidate	promoter_candidate19	0	1	0	0
ANKRD1	promoter_candidate	promoter_candidate20	1	0	0	0
PLN	promoter_candidate	promoter_candidate21	0	1	0	0
EEF1A2	promoter_candidate	promoter_candidate22	0	0	1	0
CSRP3	promoter_candidate	promoter_candidate23	0	1	0	0
HSPB1	promoter_candidate	promoter_candidate24	0	0	1	0
HSPB1_ATG	promoter_candidate	promoter_candidate25	0	0	1	0
CKMT2	promoter_candidate	promoter_candidate26	0	1	0	0
ACTN2	promoter_candidate	promoter_candidate27	0	0	1	0
COX7A1	promoter_candidate	promoter_candidate28	0	0	1	0
COX7A1_ATG	promoter_candidate	promoter_candidate29	0	0	1	0
MYL9	promoter_candidate	promoter_candidate30	1	0	0	0
NMRK2_tv1	promoter_candidate	promoter_candidate31	1	0	0	0
NMRK2_tv2	promoter_candidate	promoter_candidate32	1	0	0	0
SLC25A4	promoter_candidate	promoter_candidate33	0	1	0	0
HRC	promoter_candidate	promoter_candidate34	0	1	0	0
