A_1_ratio_scaled_AAG	A_2_ratio_scaled_AAG	A_3_ratio_scaled_AAG	A_4_ratio_scaled_AAG	A_5_ratio_scaled_AAG	A_6_ratio_scaled_AAG	S_1_ratio_scaled_AAG	S_2_ratio_scaled_AAG	S_3_ratio_scaled_AAG	S_4_ratio_scaled_AAG	S_5_ratio_scaled_AAG	L_1_ratio_scaled_AAG	L_2_ratio_scaled_AAG	L_3_ratio_scaled_AAG	L_4_ratio_scaled_AAG	L_5_ratio_scaled_AAG	V_1_ratio_scaled_AAG	V_2_ratio_scaled_AAG	V_3_ratio_scaled_AAG	V_4_ratio_scaled_AAG	V_5_ratio_scaled_AAG	K_1_ratio_scaled_AAG	K_2_ratio_scaled_AAG	K_3_ratio_scaled_AAG	K_4_ratio_scaled_AAG	K_5_ratio_scaled_AAG	LA_1_ratio_scaled_AAG	LA_2_ratio_scaled_AAG	LA_3_ratio_scaled_AAG	LA_4_ratio_scaled_AAG	LA_5_ratio_scaled_AAG	LB_1_ratio_scaled_AAG	LB_2_ratio_scaled_AAG	LB_3_ratio_scaled_AAG	LB_4_ratio_scaled_AAG	LB_5_ratio_scaled_AAG	A_AAG	V_AAG	S_AAG	L_AAG	group_AAG	FDR_active_A_AAG	FDR_active_S_AAG	FDR_active_L_AAG	FDR_active_V_AAG	FDR_active_K_AAG	FDR_active_LA_AAG	FDR_active_LB_AAG	A_mean_log_ratio_AAG	S_mean_log_ratio_AAG	L_mean_log_ratio_AAG	V_mean_log_ratio_AAG	K_mean_log_ratio_AAG	LA_mean_log_ratio_AAG	LB_mean_log_ratio_AAG	A_1_ratio_scaled_CCT	A_2_ratio_scaled_CCT	A_3_ratio_scaled_CCT	A_4_ratio_scaled_CCT	A_5_ratio_scaled_CCT	A_6_ratio_scaled_CCT	S_1_ratio_scaled_CCT	S_2_ratio_scaled_CCT	S_3_ratio_scaled_CCT	S_4_ratio_scaled_CCT	S_5_ratio_scaled_CCT	L_1_ratio_scaled_CCT	L_2_ratio_scaled_CCT	L_3_ratio_scaled_CCT	L_4_ratio_scaled_CCT	L_5_ratio_scaled_CCT	V_1_ratio_scaled_CCT	V_2_ratio_scaled_CCT	V_3_ratio_scaled_CCT	V_4_ratio_scaled_CCT	V_5_ratio_scaled_CCT	K_1_ratio_scaled_CCT	K_2_ratio_scaled_CCT	K_3_ratio_scaled_CCT	K_4_ratio_scaled_CCT	K_5_ratio_scaled_CCT	LA_1_ratio_scaled_CCT	LA_2_ratio_scaled_CCT	LA_3_ratio_scaled_CCT	LA_4_ratio_scaled_CCT	LA_5_ratio_scaled_CCT	LB_1_ratio_scaled_CCT	LB_2_ratio_scaled_CCT	LB_3_ratio_scaled_CCT	LB_4_ratio_scaled_CCT	LB_5_ratio_scaled_CCT	A_CCT	V_CCT	S_CCT	L_CCT	group_CCT	FDR_active_A_CCT	FDR_active_S_CCT	FDR_active_L_CCT	FDR_active_V_CCT	FDR_active_K_CCT	FDR_active_LA_CCT	FDR_active_LB_CCT	A_mean_log_ratio_CCT	S_mean_log_ratio_CCT	L_mean_log_ratio_CCT	V_mean_log_ratio_CCT	K_mean_log_ratio_CCT	LA_mean_log_ratio_CCT	LB_mean_log_ratio_CCT	A_CCT_activity	A_AAG_activity	A_fold	A_pvalue	A_qvalue	S_CCT_activity	S_AAG_activity	S_fold	S_pvalue	S_qvalue	L_CCT_activity	L_AAG_activity	L_fold	L_pvalue	L_qvalue	V_CCT_activity	V_AAG_activity	V_fold	V_pvalue	V_qvalue	K_CCT_activity	K_AAG_activity	K_fold	K_pvalue	K_qvalue	LA_CCT_activity	LA_AAG_activity	LA_fold	LA_pvalue	LA_qvalue	LB_CCT_activity	LB_AAG_activity	LB_fold	LB_pvalue	LB_qvalue	qvalue_0_05_A	fold_1_5_A	active_A	final_sig_A	qvalue_0_05_S	fold_1_5_S	active_S	final_sig_S	qvalue_0_05_L	fold_1_5_L	active_L	final_sig_L	qvalue_0_05_V	fold_1_5_V	active_V	final_sig_V	qvalue_0_05_K	fold_1_5_K	active_K	final_sig_K	qvalue_0_05_LA	fold_1_5_LA	active_LA	final_sig_LA	qvalue_0_05_LB	fold_1_5_LB	active_LB	final_sig_LB	group2
AADAC	-0.265907968698536	-0.141504311606518	-1.62502728943512	0.192129036630851	-0.763874998028679	-1.00170626224554	-1.55400452630099	-0.504682443624267	-2.50112003400729	-3.25740379821657	-1.16590618404256	0.042743686385205	0.223524445181997	0.153543042449013	0.322896833003702	0.23536163663835	-1.36756299084013	-2.53026590480597	-1.6179631670971	-3.06355032402571	-1.33221145777952	1.52190813155377	1.14584473281417	-3.47671605128669	-1.06502170758076	1.06264377051593	0.913612556474836	-1.69016840238729	-0.0243572883798411	0.25193737318504	-0.794062986871403	0.78386738313346	1.62551793003808	0.650529096049	-0.365043002873843	0.238991928313527	0	0	0	1	promoter_candidate	1	0	1	0	1	1	1	-0.600981965563922	-1.79662339723834	0.195613928731653	-1.98231076890969	-0.162268224796715	-0.268607749595731	0.586772666932045	-1.0420148143453	-1.32055301035556	-0.834059528539734	-1.34450459990262	-1.41423276282055	-1.50044206175067	-2.17184422053126	-2.27421774270354	-0.694247007698058	-1.95014892536477	-1.9228450737064	0.0301146219257945	0.0358222431578474	0.130302875874447	0.0785488651928389	0.162250561730366	-1.31955736825222	-2.45336177318703	-1.47756687340843	-1.75500484034916	-1.12758133201185	-1.79698085280959	0.356996204913428	-0.535937766786388	-6.02185203348703	-1.46024661862453	-0.459296006295969	-0.602832082914508	0.224066502081276	0.151436573377654	-1.2585009870737	0.0546869688191927	-0.935836741955317	-0.817707276685873	-2.44930025076285	-1.89490610126503	0	0	0	1	promoter_candidate	0	0	1	0	0	1	0	-1.2426344629524	-1.80266059400081	0.0874078335762588	-1.62661443744174	-1.89160421335882	-0.389025200165049	-1.20861268036998	-1.2426344629524	-0.600981965563922	0.641652497388482	0.105845084329421	0.154406967589174	-1.80266059400081	-1.79662339723834	0.00603719676247172	0.993272508806455	0.99454920868924	0.0874078335762588	0.195613928731653	0.108206095155394	0.0786032052213622	0.0831955120481537	-1.62661443744174	-1.98231076890969	-0.355696331467946	0.212049826004142	0.325170894600841	-1.89160421335882	-0.162268224796715	1.72933598856211	0.268404077736667	0.575996629633234	-0.389025200165049	-0.268607749595731	0.120417450569318	0.781073093482325	0.853374389653199	-1.20861268036998	0.586772666932045	1.79538534730202	0.00487321536929233	0.172556126030851	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	2	1	0	0_0_0_1
ABAT	2.68222279702216	2.11481940323972	0.462942803924451	2.10625297151108	2.67083721360134	2.22250357535395	2.08728746790167	3.22447592000222	3.08965689360731	3.23360949904994	-0.273964445970606	2.52762895301977	2.30225354099371	2.43488304380617	2.47425013158086	2.49338749265737	2.81469233131268	2.99166453849589	3.3255426457091	1.31181467038906	2.73973781928457	4.17077450936922	0.840009512469974	-4.45916560742835	3.17142738672211	3.56134447229623	2.30604488499349	0.747840993355479	2.01302886116463	2.15265434027276	1.49408567199448	2.55665134292552	2.47542555184653	1.41641851773454	-1.40794645077559	-0.955000794020909	0	0	0	1	promoter_candidate	1	1	1	1	1	1	1	2.04326312744212	2.27221306691811	2.44648063241157	2.63669040103826	1.45687805468584	1.74273095035617	0.81710963354202	1.1043330841022	1.32693316079052	2.38477881641348	1.52085906950034	2.70706020962891	2.2216042110599	1.45255488667015	1.06680615758491	2.00235379888924	1.90217512311582	2.39537994704392	3.22285732943584	3.10472587730198	3.04711027678296	3.11319521656235	3.04622370417589	1.79182974009747	3.05791476858994	2.9164464271024	1.37879768037427	2.32579460954285	0.997239324215168	2.57386599150554	3.03958702372046	3.67274142332763	2.85354132848778	2.76682754752368	1.34073523136494	3.1059527746323	2.80929510666233	2.67682614671674	1.89873950814192	2.02073195986789	2.29807787240522	1.82879511060814	2.09306254399671	0	0	0	1	promoter_candidate	1	1	1	1	1	1	1	1.87759475858256	1.76385398266081	3.10682248085181	2.29415664514139	2.62739501825132	2.53992736138	2.02788139900398	1.87759475858256	2.04326312744212	0.165668368859559	0.745282348727076	0.783501956354106	1.76385398266081	2.27221306691811	0.508359084257299	0.574238663144201	0.683993759310906	3.10682248085181	2.44648063241157	-0.660341848440232	9.811929200344e-05	0.000224808613149058	2.29415664514139	2.63669040103826	0.342533755896876	0.163389398089764	0.270234269876701	2.62739501825132	1.45687805468584	-1.17051696356548	0.546241883734619	0.775086388760051	2.53992736138	1.74273095035617	-0.797196411023831	0.00511450963498182	0.0830042292843924	2.02788139900398	0.81710963354202	-1.21077176546196	0.219429611852504	0.637819655347389	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0_0_0_1
ACACB_tv1	-0.183699429382429	-0.286688194646877	-0.433071185185183	-0.513142662873245	0.0458334617903766	-0.427425776021685	-0.257688049750917	-1.369907842668	-0.78458903548577	-0.770791507062369	-0.5522243998896	-0.747489761181665	-0.785887840956848	-0.810663897093956	-0.756825704421586	-0.777400730535714	-0.110273668008576	-0.826846208134193	-0.830192754795352	-0.880707915035401	-0.868551647956089	-0.766522670864597	-0.566474993114645	-0.0262824918715172	-0.931236294544681	-0.344695856933573	-0.605525772011397	-0.399363472189149	-0.712934958309091	-0.351758665517152	-0.616276296500228	-0.42074074959094	-1.42305768685771	-1.67956552395828	-0.978806479179993	0.826001869559685	0	0	1	0	promoter_candidate	1	0	0	1	0	1	0	-0.299698964386507	-0.747040166971331	-0.775653586837954	-0.703314438785922	-0.527042461465803	-0.537171832905403	-0.735233714005447	-0.860373593133665	-0.922239933924229	-1.11600965910988	-1.07144262833459	-1.11269423439782	-0.17073539532396	-2.02679253902369	-1.59756364020734	-0.699280162994416	-1.1134715992851	-0.856465705354949	-1.04774258804069	-1.33085704281085	-1.27912936602514	-1.36754866240345	-1.4827711956242	-0.868938846351218	-0.769759203925822	-1.49159282811305	-2.01666362675466	-1.08060353236148	-0.509052355846228	-1.06085083348438	-0.909599393136881	-1.7402783126965	-1.04924216643592	-1.31638191048708	-1.21108927208824	-0.750581443348836	-1.9095785525602	-0.666445083569528	-0.103331030255265	-0.374209744337607	-0.295826731612312	-0.751131454999064	-1.39015484033831	0	0	1	0	promoter_candidate	0	0	0	0	0	0	0	-0.875582574037357	-1.2587147293731	-1.30160977098087	-1.24551160750125	-1.05380461231998	-1.17081525241078	-0.582930760308511	-0.875582574037357	-0.299698964386507	0.57588360965085	0.0278991362323924	0.0557267362180351	-1.2587147293731	-0.747040166971331	0.511674562401769	0.188607037146205	0.336983674167188	-1.30160977098087	-0.775653586837954	0.525956184142914	0.0015514842751576	0.00207664304183465	-1.24551160750125	-0.703314438785922	0.542197168715324	0.0611819021231176	0.143556330584062	-1.05380461231998	-0.527042461465803	0.526762150854181	0.0634095871359658	0.329307122526116	-1.17081525241078	-0.537171832905403	0.633643419505372	0.0877307987204121	0.225552119482512	-0.582930760308511	-0.735233714005447	-0.152302953696937	0.821133415287261	0.951879360876156	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0_0_1_0
ACACB_tv1ATG	-0.441329709737172	-0.21693753103862	-0.746709191268726	-0.293622317660164	-0.1736799824945	-0.539385464962077	-1.52849883055728	-1.03341861490029	0.0440707840428999	-1.45013870089587	-1.37998105772251	-0.587527142232422	-0.714852385193925	-0.707256854737964	-0.707064991361174	-0.731967492389823	-0.370714609480668	-0.894374127632723	-1.22255846097351	-1.25274159314436	-0.523173009676183	-0.651098233026679	-0.672724191569469	-0.221501758534064	-1.05447661914958	-0.882934223378536	-1.15650578974519	-0.369066833812535	-0.609751769071687	-0.619936593001819	-0.382395514629854	-1.30367778760328	-0.790863204342785	-0.771013142550535	-0.94495443201215	-0.591321050510189	0	0	1	0	promoter_candidate	1	0	0	0	0	1	0	-0.40194403286021	-1.06959328400661	-0.689733773183062	-0.852712360181489	-0.696547005131665	-0.627531300052216	-0.880365923403788	-0.627023798008991	-0.379760269483908	-0.921539814393869	-1.01795655287919	-0.859684648638706	-0.860147056038846	-1.2894553793172	-2.35426138939227	-1.15172735086993	-1.93706869843035	-1.9886884386019	-0.708744934618343	-1.08251112337654	-1.24504947297172	-1.29236224358628	-1.20801714244352	-1.07987540134214	-0.741009551765867	-1.58085266885158	-1.60649635839704	-1.1182454235773	-1.74567013574581	-1.61421926282988	-1.30700578297016	-1.70738654357112	-0.665980074107488	-0.606716773243547	-0.368680393899256	-1.14143995982313	-1.1054502662096	-0.573300536800295	-0.385727146074549	-0.316422854150613	-0.455085944538892	-1.12234830561719	-0.517720122396762	0	0	1	0	promoter_candidate	0	0	0	0	0	0	0	-0.777685356573919	-1.74424025132233	-1.10733698339928	-1.22529588078678	-1.40805235984489	-0.759117585995164	-0.559460874555602	-0.777685356573919	-0.40194403286021	0.375741323713709	0.0169923480276436	0.0412368819736272	-1.74424025132233	-1.06959328400661	0.67464696731572	0.0733278415815087	0.192981042540525	-1.10733698339928	-0.689733773183062	0.417603210216218	0.0071895699275815	0.00855064881463509	-1.22529588078678	-0.852712360181489	0.372583520605296	0.0659126546736737	0.149261505787185	-1.40805235984489	-0.696547005131665	0.711505354713228	0.0441755454675663	0.310024774047154	-0.759117585995164	-0.627531300052216	0.131586285942948	0.539329924893364	0.665828861318432	-0.559460874555602	-0.880365923403788	-0.320905048848186	0.158999730211519	0.557931485742221	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0_0_1_0
ACACB_tv2	-0.368471585921483	-0.162039095692527	0.0341099533538876	0.226116411171984	-0.0724555740192927	-0.211370406900843	-1.3298029470732	-2.48904517834133	-1.38775880862277	-1.98794175877268	-2.7248750645198	-1.6667014342343	-1.90165511404328	-1.7405723473584	-1.61140438803482	-1.69832934706498	-0.233801113356466	-1.04705382703964	-0.944955484384451	-0.219733085794563	-0.393860728102094	-2.07405206075445	-0.122121917874137	-2.39074568088277	-6.17673109794599	-0.686036449863334	-2.5130912465224	-1.42359287164566	-1.93553605251716	-1.87062739819423	-2.25754305813004	-1.36695287750325	-1.75572448726536	-3.74804962297283	-0.868803843974293	-2.022610827264	0	0	1	0	promoter_candidate	1	0	0	1	0	0	0	-0.0923517163347123	-1.98388475146596	-1.72373252614716	-0.567880847735442	-2.28993744146414	-2.0000781254019	-1.95242833179595	0.11716888239599	-0.185233409585387	0.0939592192287115	-0.188520196010718	0.177492919133969	0.0892711374583893	-1.55581043053105	-2.76796722045393	-3.39225718692857	-1.48234350320857	-1.80072922058455	-2.83709070716472	-2.37474598680504	-2.59421908386169	-2.5819888613211	-2.51950541341747	-0.327204030630448	-0.492832109853621	-0.347072956969103	-0.301265426506276	-0.283960204038128	-5.66652394102769	-1.90339369576853	-2.33012220252297	-1.29840325587887	-3.98771439240218	-2.74171582137373	-1.94089237316889	-2.10239699460801	-2.78865301492061	-2.33565181053034	-1.90727082996863	-2.15186668044167	-1.82908943695508	-3.42589374266606	-3.2816255706611	0	0	1	0	promoter_candidate	1	0	0	1	0	0	0	0.0173564254368257	-2.19982151234133	-2.581510010514	-0.350466945599515	-3.03723149752005	-2.38186200292032	-2.51914925213851	0.0173564254368257	-0.0923517163347123	-0.109708141771538	0.430991650432871	0.489420547648989	-2.19982151234133	-1.98388475146596	0.215936760875378	0.688768797615963	0.775362562634155	-2.581510010514	-1.72373252614716	0.857777484366847	0.00166872240479272	0.00221831869169545	-0.350466945599515	-0.567880847735442	-0.217413902135927	0.223212356624311	0.338952097096176	-3.03723149752005	-2.28993744146414	0.747294056055913	0.654712597181102	0.847211151501792	-2.38186200292032	-2.0000781254019	0.381783877518419	0.0670264818979229	0.197778899236674	-2.51914925213851	-1.95242833179595	0.566720920342562	0.480732958292582	0.81058652491325	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0_0_1_0
ACMSD	-2.96216275926401	-0.858839548544655	-1.29234115376117	-1.15306659977807	-0.792447647646094	-1.26254920356603	-2.83267649385073	-2.71606668433597	-1.08515176215499	-0.960571205203944	-2.38913371964858	0.161500517952791	0.221713595309806	0.0354665245089085	0.0662370624176089	0.0987351432617672	-2.60652184246523	-3.09416587711061	-3.0894837591852	-0.238391307142145	-0.411872942347658	-0.587819146345617	-2.02537140863721	-0.383461470404963	-7.30049556085497	-3.82749840339631	-1.52942873963978	-1.22152826999359	-0.692670372952778	-0.649672665059592	-1.94725815496641	-3.09478311371094	0.3931330944708	-0.114409832865706	-1.10079743311859	-7.11140691456298	0	0	0	1	promoter_candidate	0	0	1	0	0	0	0	-1.38690115209334	-1.99671997303884	0.116730568690176	-1.88808714565017	-2.82492919792782	-1.20811164052243	-2.20565283995748	-2.13894059143828	-1.79667974765639	-1.71793463154024	-1.13925479726812	-2.84841934807259	-2.76281778038272	-4.3993155372128	-4.11389708309857	-4.32521005112789	-3.23632318603512	-1.98280916836743	0.563447480189432	0.48078485814611	0.530565403793706	0.590517050203064	0.647885557725533	-2.32376671568731	-2.17928728134801	-2.330763708076	-2.67556175800818	-2.33814710304837	-0.288887624891258	-1.84609549736523	-1.30091458794529	-0.360553855830476	-2.52487454714963	-0.685969865595683	-3.34321354487805	0.282978869805891	-0.520770070442328	-1.02083443379453	-1.15125004943533	-1.54701572175587	-2.8852760828392	-4.33847765893879	-1.33541530110801	0	0	0	1	promoter_candidate	0	0	1	0	0	0	0	-2.06734114939306	-3.61151100516836	0.562640070011569	-2.36950531323357	-1.26426522263638	-1.05756180898094	-2.25148696281544	-2.06734114939306	-1.38690115209334	0.68043999729972	0.17090397653604	0.224509608299452	-3.61151100516836	-1.99671997303884	1.61479103212952	0.0547173568737938	0.159643524362118	0.562640070011569	0.116730568690176	-0.445909501321393	0.0010881291336315	0.00150293013315415	-2.36950531323357	-1.88808714565017	0.481418167583406	0.533043127666831	0.629152418867365	-1.26426522263638	-2.82492919792782	-1.56066397529144	0.324378864038285	0.623928728606973	-1.05756180898094	-1.20811164052243	-0.150549831541487	0.810703959390334	0.875920089271942	-2.25148696281544	-2.20565283995748	0.0458341228579577	0.979997763278728	0.996629579104607	0	2	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0_0_0_1
ACSM2A	-1.49373521305747	-0.158874010271279	-1.09976455041052	-1.25668923946957	-0.689525258423474	-1.50777706325442	1.01154838754835	-1.31407700597042	-2.02100722870607	-0.30315417245209	-0.956047302017231	0.277164086896493	0.296222107795923	0.41534137158952	0.356856205373083	0.435583901864062	-1.03711429724781	-1.05830632509287	-0.770318334407044	-1.59529954628515	-1.10704861146542	0.102803471888299	-0.413950071333397	-1.95621255817948	-1.33497829677152	-0.337045102621264	-0.892898840718895	-1.49339383943476	0.0100680532533527	-0.364302371808551	-1.22248648332508	-1.51867813873763	-0.86805177660419	-0.654151837603924	-0.962357287283814	-0.586076974092296	0	0	0	1	promoter_candidate	0	0	1	0	0	0	0	-1.03439422248112	-0.716547464319491	0.356233534703816	-1.11361742289966	-0.787876511403471	-0.792602696406788	-0.91786320286437	-1.35618980720986	-1.12337341258922	-1.98276198952247	-1.867841590531	-1.83259626649791	-1.57026695793027	-1.07539970362598	-1.50689432246016	-1.88451755624196	-1.20415897912008	-1.00377966698707	1.04217528495415	0.901416864089829	0.975901736089458	0.957571099099819	1.04028871319187	-0.866537010845866	-2.11089013882391	-1.81266819592632	-0.115507639634762	-0.998339682182891	-1.54816175423613	-0.443453372924841	-0.549900179372846	-0.809497250775308	-0.46680773556707	-1.48502721705303	-0.588078507189335	0.703048553814271	-0.244647969951393	-0.353484072623329	-1.44690554494143	-0.729435433187242	-1.08187886932814	-0.900802812209115	-0.319436233485123	0	0	0	1	promoter_candidate	0	0	1	0	0	1	0	-1.62217167071345	-1.33495004568705	0.983470739485025	-1.18078853348275	-0.763564058575239	-0.393637842600563	-0.895691778630209	-1.62217167071345	-1.03439422248112	0.587777448232333	0.0388497736500289	0.07071021886302	-1.33495004568705	-0.716547464319491	0.61840258136756	0.203292173575982	0.355875512844247	0.983470739485025	0.356233534703816	-0.627237204781209	5.98921219170353e-05	0.000169658047175893	-1.18078853348275	-1.11361742289966	0.0671711105830917	0.893080381629391	0.930093071242374	-0.763564058575239	-0.787876511403471	-0.0243124528282321	0.963528441946674	0.979880752319137	-0.393637842600563	-0.792602696406788	-0.398964853806225	0.234081257519377	0.383893262331779	-0.895691778630209	-0.91786320286437	-0.0221714242341612	0.860418843333494	0.964411912168046	0	2	0	0	0	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0_0_0_1
ACSM2B	-1.24734867866516	-1.94018525653524	-1.29027570092978	-1.40754896953641	-1.29701859521548	-1.70792167058517	-1.36658578458861	-0.132428621901255	-1.3839002445933	-1.2467970768735	-1.37020988620587	0.195729445527619	0.226720834120245	0.228304264202247	0.268291079439735	0.283486504573028	-0.57433672759204	-0.972234261411514	-0.697582828408546	-0.655374605386923	-1.12097499464709	-1.75569863084271	-1.36038116821744	-1.4524238429446	-3.32097729403654	-0.422620882277182	-1.7289713556027	-1.68030419223298	0.0261749250369963	-1.68459250383076	-0.510204889968975	-1.3921709463781	-2.21802834793457	-1.20522486426054	-1.08916490824033	-1.14808825675651	0	0	0	1	promoter_candidate	0	0	1	1	0	0	0	-1.48171647857787	-1.09998432283251	0.240506425572575	-0.804100683489223	-1.66242036366369	-1.11557960331969	-1.41053546471401	-1.99927046491371	-1.56069952572564	-1.82438899510786	-1.48349935499892	-1.57735408774272	-1.73559046483253	0.483439129120102	-2.18520402095413	-1.34644189031754	-1.48685585736241	-1.70619983375796	0.908962212186089	0.859542087520577	0.867551461898577	0.822991366801718	0.950639808290612	-0.651755387645106	-1.54436964520016	-1.82927336882668	-1.00942827578773	-1.57016614860346	-1.36464131174655	-0.953141420996136	-1.36498079098444	-2.64644995855189	-0.169229545049387	-2.82756820480045	-1.4284994330872	0.616388092808714	-0.478331207298411	-0.240222532790767	-2.96887321322332	-2.25304030542588	-0.483378406421694	-0.87654147727204	-2.34281671484519	0	0	0	1	promoter_candidate	0	0	1	0	0	0	0	-1.69680048222023	-1.24825249465439	0.881937387339515	-1.32099856521263	-1.29968860546568	-0.871646657033622	-1.78493002343762	-1.69680048222023	-1.48171647857787	0.215084003642356	0.245499040437182	0.300697724057492	-1.24825249465439	-1.09998432283251	0.148268171821881	0.822866559859142	0.874506207544709	0.881937387339515	0.240506425572575	-0.64143096176694	1.57825205723947e-05	7.93198937154548e-05	-1.32099856521263	-0.804100683489223	0.516897881723404	0.0410912554846034	0.115144201519806	-1.29968860546568	-1.66242036366369	-0.362731758198015	0.0200531312512782	0.284025258995377	-0.871646657033622	-1.11557960331969	-0.243932946286064	0.553299976727585	0.676641572795587	-1.78493002343762	-1.41053546471401	0.374394558723613	0.437696842803826	0.780242198041604	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0_0_0_1
ACSM5	-0.878356635515616	-0.59850019632173	-0.503091581266728	-0.639596532130954	-0.779236399045084	-0.530117759586728	-0.620842799742822	-0.310147468408993	-0.789391569295202	-0.815339405706192	-0.881296816735048	-0.611977171894286	-0.571157321056408	-0.529696843845451	-0.549275428615701	-0.399127562513985	-0.603230198912148	-0.63408455726688	-0.856458904978547	-0.726857926285141	-0.684058869163663	-0.381805332202835	-0.574104161860879	-1.82444766536151	-0.343165096119782	0.234835558899309	-0.71838515377036	-0.690127059140223	-0.791423761417812	-0.726183949502272	-0.635389990441344	-0.945350370181294	-1.24412969709358	0.0782219252090301	-0.749219520971421	-0.770813380214514	0	0	0	1	promoter_candidate	1	0	1	1	0	1	0	-0.65481651731114	-0.683403611977652	-0.532246865585166	-0.700938091321276	-0.577737339329139	-0.712301982854402	-0.726258208650356	-1.31805840506263	-1.14690710482565	-1.19829727843655	-1.12600313921496	-0.995328560326081	-1.2794860944285	-0.896282073270399	-1.03008682331433	-1.23538298041921	-1.32794797781931	-0.843927111949486	-0.659716291911673	-0.604463331449281	-0.686570605001913	-0.670983767730749	-0.569316840316482	-1.30039148724851	-0.757646565968362	-0.955917278025114	-1.37509544344504	-1.30617437812504	-0.94183609636033	-1.77137074248133	-1.41907309765152	-2.27909069041748	-1.49286285911759	-1.27861898063512	-1.10086060084212	-0.688495546520925	-1.02232645477554	-0.802844749948807	-0.855756022179135	-0.554955767803487	-0.77804450642579	-1.77573750539599	-1.80487842036139	0	0	0	1	promoter_candidate	0	0	0	0	0	0	0	-1.17734676371573	-1.06672539335455	-0.63821016728202	-1.13904503056241	-1.58084669720565	-0.978629266544503	-1.15387444443316	-1.17734676371573	-0.65481651731114	0.522530246404589	0.00114240956408692	0.00809033682203377	-1.06672539335455	-0.683403611977652	0.383321781376896	0.0392283419202999	0.13003778023793	-0.63821016728202	-0.532246865585166	0.105963301696853	0.0192692132034933	0.0216292753393678	-1.13904503056241	-0.700938091321276	0.438106939241136	0.0307553921140607	0.0973920750278589	-1.58084669720565	-0.577737339329139	1.00310935787651	0.077655455766023	0.337953072858837	-0.978629266544503	-0.712301982854402	0.266327283690101	0.0774838067397792	0.214042146986837	-1.15387444443316	-0.726258208650356	0.427616235782803	0.286744821851808	0.695869832469029	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0_0_0_1
ACTA1	2.5392690639224	2.51916236462288	2.22323542226877	2.84524711321031	2.51698106245107	2.22153644578741	4.39693905442313	4.4813562479821	4.74645552257106	4.95137311281531	4.66692397677947	0.0738184504463678	0.0365720269445792	0.204246218005896	0.212917233186028	0.236033474212223	3.96817765985331	3.87608110751831	3.54515747020803	3.47897915382238	3.916747220981	2.03380072419498	0.578990706531309	0.844178147615187	0.784873601005923	0.402559400739403	1.17775064687673	1.3482094669193	0.260980681093923	0.383256802225509	1.27595889642404	1.87429841787404	0.984493842463271	0.0583400646983626	1.43907442681887	1.73538549583366	0	0	1	0	promoter_candidate	1	1	1	1	1	1	1	2.47757191204381	4.64860958291421	0.152717480559019	3.75702852247661	0.928880516017361	0.889231298707899	1.21831844953764	2.75442445729359	2.45461959137334	1.78575772757566	1.68140053363314	2.15230834568592	2.21942905002974	3.19950178924402	5.00988338004545	4.10828350069215	4.0486053461064	4.70570986630813	-0.660912338100327	-0.549496041993884	-0.625078614164205	-0.642338420579944	-0.517735119985392	3.60034966548144	3.08441284945956	3.25076630834921	3.36764010006536	3.53262158248363	0.878276304940533	-1.48494708099015	-2.00641152481284	-7.19122600171989	0.421645800555405	1.28607998750436	0.941073386042491	0.118453648084142	1.21706020355181	1.20027228898622	0.359202774816981	1.21106144962093	1.29296870262026	0.666296196143103	1.59732631981741	0	0	1	0	promoter_candidate	1	1	0	1	0	1	1	2.17465661759856	4.21439677647923	-0.59911210696475	3.36715810116784	-1.87653250040539	0.952587902833804	1.02537108860374	2.17465661759856	2.47757191204381	0.302915294445243	0.18702260713135	0.242010981653358	4.21439677647923	4.64860958291421	0.43421280643498	0.241099260837451	0.396236970869989	-0.59911210696475	0.152717480559019	0.751829587523769	9.04793012032335e-05	0.000213585986779754	3.36715810116784	3.75702852247661	0.389870421308769	0.0249748704469871	0.0909131966271165	-1.87653250040539	0.928880516017361	2.80541301642275	0.111501519784311	0.393030243945604	0.952587902833804	0.889231298707899	-0.0633566041259056	0.777515320036835	0.851876841503087	1.02537108860374	1.21831844953764	0.192947360933903	0.698719745079277	0.893764665708961	0	0	1	0	0	0	1	0	1	2	1	2	0	0	1	0	0	2	1	0	0	0	1	0	0	0	1	0	0_0_1_0
