A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled	K_1_ratio_scaled	K_2_ratio_scaled	K_3_ratio_scaled	K_4_ratio_scaled	K_5_ratio_scaled	LA_1_ratio_scaled	LA_2_ratio_scaled	LA_3_ratio_scaled	LA_4_ratio_scaled	LA_5_ratio_scaled	LB_1_ratio_scaled	LB_2_ratio_scaled	LB_3_ratio_scaled	LB_4_ratio_scaled	LB_5_ratio_scaled	mean_log_A_ratio	mean_log_S_ratio	mean_log_L_ratio	mean_log_V_ratio	mean_log_K_ratio	mean_log_LA_ratio	mean_log_LB_ratio	A_rank_value	S_rank_value	L_rank_value	V_rank_value	K_rank_value	LA_rank_value	LB_rank_value	group	group2	A	S	L	V	A_DESeq2_Active	V_DESeq2_Active	L_DESeq2_Active	S_DESeq2_Active	K_DESeq2_Active	LA_DESeq2_Active	LB_DESeq2_Active
A2M:::CCT	-0.815458072881538	-0.713305400105394	-0.771282967520292	-0.869346479778706	-0.203741256675287	-0.942766019054753	0.289084731967129	0.842710063417712	-1.10234408843284	-0.593755089331513	0.000838953558511772	-0.380974835657282	0.169932721825599	-0.15384829112291	-0.301313003718903	0.107171500273255	-0.0964595224902987	0.544166274155704	-0.433058834474693	-0.0577078593391527	-0.398205948589204	-0.000971930945564584	0.673491375150617	-0.424007803360061	-0.433511724559036	-4.9801927168064	0.852527480805903	0.561003317374754	0.180866570072651	1.04764556778906	0.969776108411225	1.80039217917308	0.785956741439195	1.79722724013956	1.81227141822788	0.991022821319948	-0.719316699335995	-0.112693085764199	-0.111806381680048	-0.088253178147529	-1.03303856010409	0.722363808890718	1.43737408005993	737	627	664	609	771	303	144	promoter_candidate	0_0_0_1	0	0	1	0	0	1	1	0	0	1	1
AADAC:::AAG	-0.265907968698536	-0.141504311606518	-1.62502728943512	0.192129036630851	-0.763874998028679	-1.00170626224554	-1.55400452630099	-0.504682443624267	-2.50112003400729	-3.25740379821657	-1.16590618404256	0.042743686385205	0.223524445181997	0.153543042449013	0.322896833003702	0.23536163663835	-1.36756299084013	-2.53026590480597	-1.6179631670971	-3.06355032402571	-1.33221145777952	1.52190813155377	1.14584473281417	-3.47671605128669	-1.06502170758076	1.06264377051593	0.913612556474836	-1.69016840238729	-0.0243572883798411	0.25193737318504	-0.794062986871403	0.78386738313346	1.62551793003808	0.650529096049	-0.365043002873843	0.238991928313527	-0.600981965563922	-1.79662339723834	0.195613928731653	-1.98231076890969	-0.162268224796715	-0.268607749595731	0.586772666932045	686	1128	548	1231	460	644	332	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	1
AADAC:::CCT	-1.0420148143453	-1.32055301035556	-0.834059528539734	-1.34450459990262	-1.41423276282055	-1.50044206175067	-2.17184422053126	-2.27421774270354	-0.694247007698058	-1.95014892536477	-1.9228450737064	0.0301146219257945	0.0358222431578474	0.130302875874447	0.0785488651928389	0.162250561730366	-1.31955736825222	-2.45336177318703	-1.47756687340843	-1.75500484034916	-1.12758133201185	-1.79698085280959	0.356996204913428	-0.535937766786388	-6.02185203348703	-1.46024661862453	-0.459296006295969	-0.602832082914508	0.224066502081276	0.151436573377654	-1.2585009870737	0.0546869688191927	-0.935836741955317	-0.817707276685873	-2.44930025076285	-1.89490610126503	-1.2426344629524	-1.80266059400081	0.0874078335762588	-1.62661443744174	-1.89160421335882	-0.389025200165049	-1.20861268036998	911	1129	593	1056	1117	687	912	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ABAT:::AAG	2.68222279702216	2.11481940323972	0.462942803924451	2.10625297151108	2.67083721360134	2.22250357535395	2.08728746790167	3.22447592000222	3.08965689360731	3.23360949904994	-0.273964445970606	2.52762895301977	2.30225354099371	2.43488304380617	2.47425013158086	2.49338749265737	2.81469233131268	2.99166453849589	3.3255426457091	1.31181467038906	2.73973781928457	4.17077450936922	0.840009512469974	-4.45916560742835	3.17142738672211	3.56134447229623	2.30604488499349	0.747840993355479	2.01302886116463	2.15265434027276	1.49408567199448	2.55665134292552	2.47542555184653	1.41641851773454	-1.40794645077559	-0.955000794020909	2.04326312744212	2.27221306691811	2.44648063241157	2.63669040103826	1.45687805468584	1.74273095035617	0.81710963354202	108	159	49	113	101	86	275	promoter_candidate	0_0_0_1	0	0	1	0	1	1	1	1	1	1	1
ABAT:::CCT	1.1043330841022	1.32693316079052	2.38477881641348	1.52085906950034	2.70706020962891	2.2216042110599	1.45255488667015	1.06680615758491	2.00235379888924	1.90217512311582	2.39537994704392	3.22285732943584	3.10472587730198	3.04711027678296	3.11319521656235	3.04622370417589	1.79182974009747	3.05791476858994	2.9164464271024	1.37879768037427	2.32579460954285	0.997239324215168	2.57386599150554	3.03958702372046	3.67274142332763	2.85354132848778	2.76682754752368	1.34073523136494	3.1059527746323	2.80929510666233	2.67682614671674	1.89873950814192	2.02073195986789	2.29807787240522	1.82879511060814	2.09306254399671	1.87759475858256	1.76385398266081	3.10682248085181	2.29415664514139	2.62739501825132	2.53992736138	2.02788139900398	134	248	11	156	12	9	50	promoter_candidate	0_0_0_1	0	0	1	0	1	1	1	1	1	1	1
ACACB_tv1:::AAG	-0.183699429382429	-0.286688194646877	-0.433071185185183	-0.513142662873245	0.0458334617903766	-0.427425776021685	-0.257688049750917	-1.369907842668	-0.78458903548577	-0.770791507062369	-0.5522243998896	-0.747489761181665	-0.785887840956848	-0.810663897093956	-0.756825704421586	-0.777400730535714	-0.110273668008576	-0.826846208134193	-0.830192754795352	-0.880707915035401	-0.868551647956089	-0.766522670864597	-0.566474993114645	-0.0262824918715172	-0.931236294544681	-0.344695856933573	-0.605525772011397	-0.399363472189149	-0.712934958309091	-0.351758665517152	-0.616276296500228	-0.42074074959094	-1.42305768685771	-1.67956552395828	-0.978806479179993	0.826001869559685	-0.299698964386507	-0.747040166971331	-0.775653586837954	-0.703314438785922	-0.527042461465803	-0.537171832905403	-0.735233714005447	606	772	871	736	583	744	726	promoter_candidate	0_0_1_0	0	1	0	0	1	0	0	0	0	0	0
ACACB_tv1:::CCT	-0.860373593133665	-0.922239933924229	-1.11600965910988	-1.07144262833459	-1.11269423439782	-0.17073539532396	-2.02679253902369	-1.59756364020734	-0.699280162994416	-1.1134715992851	-0.856465705354949	-1.04774258804069	-1.33085704281085	-1.27912936602514	-1.36754866240345	-1.4827711956242	-0.868938846351218	-0.769759203925822	-1.49159282811305	-2.01666362675466	-1.08060353236148	-0.509052355846228	-1.06085083348438	-0.909599393136881	-1.7402783126965	-1.04924216643592	-1.31638191048708	-1.21108927208824	-0.750581443348836	-1.9095785525602	-0.666445083569528	-0.103331030255265	-0.374209744337607	-0.295826731612312	-0.751131454999064	-1.39015484033831	-0.875582574037357	-1.2587147293731	-1.30160977098087	-1.24551160750125	-1.05380461231998	-1.17081525241078	-0.582930760308511	787	927	1077	902	780	987	689	promoter_candidate	0_0_1_0	0	1	0	0	0	0	0	0	0	0	0
ACACB_tv1ATG:::AAG	-0.441329709737172	-0.21693753103862	-0.746709191268726	-0.293622317660164	-0.1736799824945	-0.539385464962077	-1.52849883055728	-1.03341861490029	0.0440707840428999	-1.45013870089587	-1.37998105772251	-0.587527142232422	-0.714852385193925	-0.707256854737964	-0.707064991361174	-0.731967492389823	-0.370714609480668	-0.894374127632723	-1.22255846097351	-1.25274159314436	-0.523173009676183	-0.651098233026679	-0.672724191569469	-0.221501758534064	-1.05447661914958	-0.882934223378536	-1.15650578974519	-0.369066833812535	-0.609751769071687	-0.619936593001819	-0.382395514629854	-1.30367778760328	-0.790863204342785	-0.771013142550535	-0.94495443201215	-0.591321050510189	-0.40194403286021	-1.06959328400661	-0.689733773183062	-0.852712360181489	-0.696547005131665	-0.627531300052216	-0.880365923403788	639	865	848	786	642	771	781	promoter_candidate	0_0_1_0	0	1	0	0	1	0	0	0	0	0	0
ACACB_tv1ATG:::CCT	-0.627023798008991	-0.379760269483908	-0.921539814393869	-1.01795655287919	-0.859684648638706	-0.860147056038846	-1.2894553793172	-2.35426138939227	-1.15172735086993	-1.93706869843035	-1.9886884386019	-0.708744934618343	-1.08251112337654	-1.24504947297172	-1.29236224358628	-1.20801714244352	-1.07987540134214	-0.741009551765867	-1.58085266885158	-1.60649635839704	-1.1182454235773	-1.74567013574581	-1.61421926282988	-1.30700578297016	-1.70738654357112	-0.665980074107488	-0.606716773243547	-0.368680393899256	-1.14143995982313	-1.1054502662096	-0.573300536800295	-0.385727146074549	-0.316422854150613	-0.455085944538892	-1.12234830561719	-0.517720122396762	-0.777685356573919	-1.74424025132233	-1.10733698339928	-1.22529588078678	-1.40805235984489	-0.759117585995164	-0.559460874555602	752	1107	998	895	929	814	678	promoter_candidate	0_0_1_0	0	1	0	0	0	0	0	0	0	0	0
ACACB_tv2:::AAG	-0.368471585921483	-0.162039095692527	0.0341099533538876	0.226116411171984	-0.0724555740192927	-0.211370406900843	-1.3298029470732	-2.48904517834133	-1.38775880862277	-1.98794175877268	-2.7248750645198	-1.6667014342343	-1.90165511404328	-1.7405723473584	-1.61140438803482	-1.69832934706498	-0.233801113356466	-1.04705382703964	-0.944955484384451	-0.219733085794563	-0.393860728102094	-2.07405206075445	-0.122121917874137	-2.39074568088277	-6.17673109794599	-0.686036449863334	-2.5130912465224	-1.42359287164566	-1.93553605251716	-1.87062739819423	-2.25754305813004	-1.36695287750325	-1.75572448726536	-3.74804962297283	-0.868803843974293	-2.022610827264	-0.0923517163347123	-1.98388475146596	-1.72373252614716	-0.567880847735442	-2.28993744146414	-2.0000781254019	-1.95242833179595	550	1205	1221	712	1261	1298	1209	promoter_candidate	0_0_1_0	0	1	0	0	1	0	0	0	0	0	0
ACACB_tv2:::CCT	0.11716888239599	-0.185233409585387	0.0939592192287115	-0.188520196010718	0.177492919133969	0.0892711374583893	-1.55581043053105	-2.76796722045393	-3.39225718692857	-1.48234350320857	-1.80072922058455	-2.83709070716472	-2.37474598680504	-2.59421908386169	-2.5819888613211	-2.51950541341747	-0.327204030630448	-0.492832109853621	-0.347072956969103	-0.301265426506276	-0.283960204038128	-5.66652394102769	-1.90339369576853	-2.33012220252297	-1.29840325587887	-3.98771439240218	-2.74171582137373	-1.94089237316889	-2.10239699460801	-2.78865301492061	-2.33565181053034	-1.90727082996863	-2.15186668044167	-1.82908943695508	-3.42589374266606	-3.2816255706611	0.0173564254368257	-2.19982151234133	-2.581510010514	-0.350466945599515	-3.03723149752005	-2.38186200292032	-2.51914925213851	535	1287	1483	665	1407	1446	1395	promoter_candidate	0_0_1_0	0	1	0	0	1	1	0	0	0	0	0
ACMSD:::AAG	-2.96216275926401	-0.858839548544655	-1.29234115376117	-1.15306659977807	-0.792447647646094	-1.26254920356603	-2.83267649385073	-2.71606668433597	-1.08515176215499	-0.960571205203944	-2.38913371964858	0.161500517952791	0.221713595309806	0.0354665245089085	0.0662370624176089	0.0987351432617672	-2.60652184246523	-3.09416587711061	-3.0894837591852	-0.238391307142145	-0.411872942347658	-0.587819146345617	-2.02537140863721	-0.383461470404963	-7.30049556085497	-3.82749840339631	-1.52942873963978	-1.22152826999359	-0.692670372952778	-0.649672665059592	-1.94725815496641	-3.09478311371094	0.3931330944708	-0.114409832865706	-1.10079743311859	-7.11140691456298	-1.38690115209334	-1.99671997303884	0.116730568690176	-1.88808714565017	-2.82492919792782	-1.20811164052243	-2.20565283995748	965	1211	585	1188	1367	1000	1302	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
ACMSD:::CCT	-2.13894059143828	-1.79667974765639	-1.71793463154024	-1.13925479726812	-2.84841934807259	-2.76281778038272	-4.3993155372128	-4.11389708309857	-4.32521005112789	-3.23632318603512	-1.98280916836743	0.563447480189432	0.48078485814611	0.530565403793706	0.590517050203064	0.647885557725533	-2.32376671568731	-2.17928728134801	-2.330763708076	-2.67556175800818	-2.33814710304837	-0.288887624891258	-1.84609549736523	-1.30091458794529	-0.360553855830476	-2.52487454714963	-0.685969865595683	-3.34321354487805	0.282978869805891	-0.520770070442328	-1.02083443379453	-1.15125004943533	-1.54701572175587	-2.8852760828392	-4.33847765893879	-1.33541530110801	-2.06734114939306	-3.61151100516836	0.562640070011569	-2.36950531323357	-1.26426522263638	-1.05756180898094	-2.25148696281544	1283	1553	437	1409	865	935	1318	promoter_candidate	0_0_0_1	0	0	1	0	0	0	1	0	0	0	0
