A_1_ratio_scaled	A_2_ratio_scaled	A_3_ratio_scaled	A_4_ratio_scaled	A_5_ratio_scaled	A_6_ratio_scaled	S_1_ratio_scaled	S_2_ratio_scaled	S_3_ratio_scaled	S_4_ratio_scaled	S_5_ratio_scaled	L_1_ratio_scaled	L_2_ratio_scaled	L_3_ratio_scaled	L_4_ratio_scaled	L_5_ratio_scaled	V_1_ratio_scaled	V_2_ratio_scaled	V_3_ratio_scaled	V_4_ratio_scaled	V_5_ratio_scaled	K_1_ratio_scaled	K_2_ratio_scaled	K_3_ratio_scaled	K_4_ratio_scaled	K_5_ratio_scaled	N_1_ratio_scaled	N_2_ratio_scaled	N_3_ratio_scaled	N_4_ratio_scaled	N_5_ratio_scaled
A2M:::CCT	-0.91457590031681	-0.752894251083649	-0.716282420043773	-0.917422518593371	-0.286724933671473	-0.988816193288677	0.269950101144218	0.820524409815348	-1.18122233820094	-0.70850339153997	-0.105912116116005	-0.450180481546278	0.135729945709017	-0.207160412536167	-0.392594761616738	-0.0113135969898298	-0.169527534649907	0.451727346573858	-0.335975029174089	-0.118120177689368	-0.517855586081348	0.0222558488383713	0.616718676080203	-0.491052548899494	-0.597486996933551	-4.94134827147857	1.72121120850618	0.835329520788016	1.72273505029541	1.74820225101603	0.937908136359579
AADAC:::AAG	-0.365025796133807	-0.181093162584774	-1.5700267419586	0.144052997816186	-0.846858675024865	-1.04775643647946	-1.5731391571239	-0.526868097226631	-2.57999828377539	-3.37215210042502	-1.27265725371708	-0.0264619595037916	0.189321669065414	0.100230921035756	0.231615075105867	0.116876539375265	-1.44063100299974	-2.62270483238782	-1.5208793617965	-3.12396264237592	-1.45186109527166	1.54513591133771	1.08907203374375	-3.54376079682612	-1.22899697995528	1.10148821584375	0.704686412466562	1.6748907093869	0.576036906204855	-0.429112170085693	0.185877243353158
AADAC:::CCT	-1.14113264178057	-1.36014186133381	-0.779058981063214	-1.39258063871728	-1.49721643981673	-1.54649223598459	-2.19097885135417	-2.29640339630591	-0.773125257466157	-2.06489722757323	-2.02959614338091	-0.0390910239632019	0.00161946704126486	0.0769907544611892	-0.0127328927049961	0.0437654644672823	-1.39262538041183	-2.54580070076887	-1.38048306810783	-1.81541715869938	-1.247230969504	-1.77375307302565	0.300223505843014	-0.602982512325822	-6.18582730586154	-1.4214021732967	-0.024494001847705	-0.886463962606496	-0.892199466530018	-2.5133694179747	-1.9480207862254
ABAT:::AAG	2.58310496958689	2.07523055226146	0.51794335140097	2.05817693269642	2.58785353660515	2.17645340112003	2.06815283707876	3.20229026639985	3.01077864383921	3.11886119684148	-0.380715515645123	2.45842330713077	2.26805076487713	2.38157092239291	2.38296837368302	2.37490239539428	2.74162431915307	2.89922561091405	3.4226264510097	1.25140235203885	2.62008818179243	4.19400228915316	0.78323681339956	-4.52621035296778	3.00745211434759	3.60018891762406	2.47747037225863	2.52479833119536	1.34192632789039	-1.47201561798744	-1.00811547898128
ABAT:::CCT	1.00521525666693	1.28734430981227	2.43977936388999	1.47278303068567	2.62407653263273	2.17555403682597	1.43342025584724	1.04462050398254	1.92347554912114	1.78742682090736	2.2886288773694	3.15365168354685	3.0705231011854	2.99379815536971	3.02191345866452	2.9277386069128	1.71876172793787	2.96547584100809	3.013530232403	1.31838536202406	2.2061449720507	1.0204671039991	2.51709329243513	2.97254227818102	3.50876615095312	2.8923857738156	1.81955853747502	2.07010473921671	2.22358568256107	1.76472594339629	2.03994785903634
ACACB_tv1:::AAG	-0.282817256817701	-0.326277045625132	-0.378070637708664	-0.56121870168791	-0.0371502152058089	-0.473475950255609	-0.276822680573828	-1.39209349627037	-0.863467285253869	-0.885539809270826	-0.658975469564116	-0.816695407070661	-0.820090617073431	-0.863976018507213	-0.848107462319421	-0.895885827798799	-0.183341680168184	-0.919285135716039	-0.733108949494748	-0.941120233385617	-0.988201285448232	-0.743294891080661	-0.623247692185059	-0.0933272374109506	-1.0952115669192	-0.305851411605746	-0.499921720257837	-1.37368490750889	-1.75405771380242	-1.04287564639184	0.772887184599316
ACACB_tv1:::CCT	-0.959491420568936	-0.961828784902484	-1.06100911163336	-1.11951866714926	-1.19567791139401	-0.216785569557884	-2.0459271698466	-1.6197492938097	-0.778158412762515	-1.22821990149356	-0.963216775029466	-1.11694823392969	-1.36505981892743	-1.3324414874384	-1.45883042030129	-1.60125629288728	-0.942006858510826	-0.862198131507669	-1.39450902281244	-2.07707594510488	-1.20025316985363	-0.485824576062292	-1.1176235325548	-0.976644138676315	-1.90425358507102	-1.01039772110809	-0.182512000922162	-0.324836964988785	-0.370318921456457	-0.815200622210914	-1.44326952529868
ACACB_tv1ATG:::AAG	-0.540447537172443	-0.256526382016876	-0.691708643792206	-0.341698356474829	-0.256663659490686	-0.585435639196001	-1.54763346138019	-1.05560426850266	-0.0348074657251991	-1.56488700310432	-1.48673212739702	-0.656732788121418	-0.749055161310508	-0.760568976151222	-0.798346749259009	-0.850452589652907	-0.443782621640276	-0.986813055214569	-1.1254746556729	-1.31315391149458	-0.642822647168326	-0.627870453242743	-0.729496890639883	-0.288546504073498	-1.21845189152409	-0.844089778050709	-1.38285875827018	-0.741490424993963	-0.84550533239468	-1.009023599224	-0.644435735470558
ACACB_tv1ATG:::CCT	-0.726141625444262	-0.419349120462163	-0.86653926691735	-1.06603259169386	-0.942668325634892	-0.90619723027277	-1.30859001014011	-2.37644704299464	-1.23060560063803	-2.05181700063881	-2.09543950827641	-0.77795058050734	-1.11671389949313	-1.29836159438498	-1.38364400148411	-1.3265022397066	-1.15294341350175	-0.833448479347713	-1.48376886355097	-1.66690867674725	-1.23789506106945	-1.72244235596187	-1.6709919619003	-1.3740505285096	-1.87136181594564	-0.627135628779661	-0.464908116741447	-0.267050074801791	-0.529578134383037	-1.18641747282904	-0.570834807357131
ACACB_tv2:::AAG	-0.467589413356754	-0.201627946670782	0.0891105008304068	0.178040372357319	-0.155439251015478	-0.257420581134767	-1.34893757789611	-2.51123083194369	-1.46663705839087	-2.10269006098114	-2.83162613419431	-1.7359070801233	-1.93585789015986	-1.79388446877165	-1.70268614593266	-1.81681444432806	-0.306869125516075	-1.13949275462148	-0.847871679083847	-0.280145404144779	-0.513510365594237	-2.05082428097052	-0.178894616944552	-2.4577904264222	-6.3407063703205	-0.647192004535507	-1.44613384817015	-1.70635170791654	-3.82254181281698	-0.932873011186143	-2.07572551222437
ACACB_tv2:::CCT	0.0180510549607187	-0.224822260563642	0.148959766705231	-0.236596234825383	0.0945092421377838	0.0432209632244653	-1.57494506135396	-2.79015287405629	-3.47113543669667	-1.59709180541703	-1.90748029025907	-2.90629635305371	-2.40894876292162	-2.64753120527494	-2.67327061921894	-2.63799051068055	-0.400272042790057	-0.585271037435467	-0.249989151668498	-0.361677744856491	-0.403609841530272	-5.64329616124376	-1.96016639483895	-2.3971669480624	-1.46237852825338	-3.94886994707435	-1.98645180063553	-2.10249390109285	-1.90358162679922	-3.48996290987792	-3.33474025562147
ACMSD:::AAG	-3.06128058669928	-0.89842839952291	-1.23734060628465	-1.20114263859273	-0.875431324642279	-1.30859937779996	-2.85181112467364	-2.73825233793833	-1.16403001192309	-1.0753195074124	-2.4958847893231	0.0922948720637942	0.187510819193223	-0.0178455969043488	-0.0250446954802258	-0.0197499540013173	-2.67958985462484	-3.18660480469245	-2.9923999538846	-0.29880362549236	-0.531522579839801	-0.564591366561681	-2.08214410770762	-0.450506215944397	-7.46447083322949	-3.78865395806849	-3.17396408437783	0.442505873819622	-0.188902022709851	-1.16486660033044	-7.16452159952335
ACMSD:::CCT	-2.23805841887355	-1.83626859863465	-1.66293408406372	-1.18733083608278	-2.93140302506878	-2.80886795461664	-4.41845016803571	-4.13608273670093	-4.40408830089599	-3.35107148824358	-2.08956023804194	0.494241834300436	0.446582082029527	0.477253282380448	0.499235292305229	0.529400460462448	-2.39683472784692	-2.27172620892985	-2.2336799027754	-2.73597407635839	-2.45779674054051	-0.265659845107322	-1.90286819643564	-1.36795933348472	-0.52452912820499	-2.48603010182181	-1.23043102010222	-1.49764294240705	-2.95976827268335	-4.40254682615064	-1.38852998606838
ACSM2A:::AAG	-1.59285304049274	-0.198462861249535	-1.044764002934	-1.30476527828424	-0.77250893541966	-1.55382723748834	0.992413756725439	-1.33626265957278	-2.09988547847417	-0.417902474660547	-1.06279837169175	0.207958441007497	0.262019331679341	0.362029250176262	0.265574447475248	0.317098804600978	-1.11018230940741	-1.15074525267471	-0.67323452910644	-1.65571186463537	-1.22669824895757	0.126031251672235	-0.470722770403811	-2.02325730371891	-1.49895356914603	-0.298200657293437	-1.59785910940452	-0.818678997255369	-0.728644027448069	-1.02642645449566	-0.639191659052665
ACSM2A:::CCT	-1.45530763464514	-1.16296226356747	-1.92776144204595	-1.91591762934566	-1.9155799434941	-1.61631713216419	-1.09453433444889	-1.52907997606252	-1.96339580601006	-1.31890728132854	-1.11053073666159	0.972969639065149	0.867214087973247	0.922589614676201	0.866289341201984	0.921803615928789	-0.939605023005474	-2.20332906640576	-1.71558439062571	-0.175919957984978	-1.11798931967503	-1.52493397445219	-0.500226071995256	-0.616944924912279	-0.973472523149822	-0.427963290239242	-1.52608651560832	-0.68006265383842	-1.15637105917228	-0.964871979420965	-0.372550918445492
ACSM2B:::AAG	-1.34646650610043	-1.97977410751349	-1.23527515345326	-1.45562500835108	-1.38000227221167	-1.7539718448191	-1.38572041541152	-0.154614275503619	-1.4627784943614	-1.36154537908196	-1.47696095588038	0.126523799638622	0.192518058003663	0.17499214278899	0.1770093215419	0.165001407309944	-0.647404739751649	-1.06467318899336	-0.600499023107942	-0.715786923737139	-1.24062463213924	-1.73247085105877	-1.41715386728785	-1.51946858848403	-3.48495256641105	-0.383776436949355	-1.471351917045	-2.16865556858575	-1.27971705410468	-1.15323407545218	-1.20120294171688
