A_1_L_ratio	A_2_L_ratio	A_3_L_ratio	A_4_L_ratio	A_5_L_ratio	A_6_L_ratio	S_1_L_ratio	S_2_L_ratio	S_3_L_ratio	S_4_L_ratio	S_5_L_ratio	L_1_L_ratio	L_2_L_ratio	L_3_L_ratio	L_4_L_ratio	L_5_L_ratio	V_1_L_ratio	V_2_L_ratio	V_3_L_ratio	V_4_L_ratio	V_5_L_ratio	K_1_L_ratio	K_2_L_ratio	K_3_L_ratio	K_4_L_ratio	K_5_L_ratio	LA_1_L_ratio	LA_2_L_ratio	LA_3_L_ratio	LA_4_L_ratio	LA_5_L_ratio	LB_1_L_ratio	LB_2_L_ratio	LB_3_L_ratio	LB_4_L_ratio	LB_5_L_ratio
A2M:::CCT	-2.4240972534984	-2.3050219324999	-2.18405278993673	-2.3716992095086	-1.81975062638371	-2.52251223473688	-0.997585172240162	-0.585320408191702	-2.48390458048013	-2.07499727381802	-1.48019060239965	-0.884778338777103	-0.343912540122644	-0.67577743274939	-0.848245374980625	-0.501623971751653	-1.16473030783001	-0.530038012834269	-1.27177926163835	-0.957387258514946	-1.4460420286777	-4.76679889384373	-4.09675550861551	-5.06519414014248	-5.13765832012673	-7.512843585454	-2.32173082484277	-2.66096175883828	-3.28193837306216	-2.21772375658593	-2.23273509558209	-1.45896626120612	-2.33183572994778	-1.70490182921328	-1.47981120343238	-2.36606358643227
AADAC:::AAG	-1.87747649788365	-1.7362151152416	-3.01124640090795	-1.3191274607367	-2.36587130677594	-2.57280586101347	-2.81815062496619	-1.92203052395656	-3.84120396670366	-4.64683501127057	-2.63047671652716	-0.461218788056246	-0.289722021875266	-0.368267780721461	-0.22463710950627	-0.372941608902969	-2.42414190749098	-3.5695582828899	-2.44516735855336	-3.91881568099264	-2.37020230156307	-3.34283947249516	-3.63245217362939	-6.84039228180396	-5.56310115890548	-3.71084739556326	-2.25375526647012	-4.73089612755794	-3.45949489854363	-2.97967857021034	-3.90519583551655	-2.44949289906787	-1.50077350274657	-2.81615359752795	-3.57918863759155	-3.08272831728731
AADAC:::CCT	-2.65328603363695	-2.90877261668451	-2.25099573927046	-2.84553120241921	-3.01831877915824	-3.0771251482689	-3.43860066193547	-3.67602692456448	-2.08333949852532	-3.41886515450683	-3.38739991699266	-0.475255493895227	-0.478430564825998	-0.392811995977424	-0.469865380242246	-0.447290674544456	-2.38349113386986	-3.50942007398063	-2.31285794538707	-2.64759630500829	-2.17363646171892	-6.30382382821457	-4.41902308629665	-5.21553483820714	-8.02215980280315	-5.99755761789305	-3.60730361817886	-3.79847317864658	-3.25401766422793	-3.10244347299759	-4.39085458430248	-3.17945594444667	-4.00901237493274	-4.25036603163231	-5.53134679589382	-5.11642343897835
ABAT:::AAG	1.07873807665415	0.543525881088821	-0.855041841909987	0.621004884585555	1.0684998858323	0.656286828506029	0.81904700311402	1.80416710764495	1.70372249395126	1.7519494455596	-1.62406632544096	2.02689709681395	1.79381740466584	1.91705714456677	1.93094532192272	1.88920023528989	1.75104625256013	1.92292839347636	2.48693196525175	0.432868976940243	1.69571816179872	-0.636921289806649	-3.04622149802046	-4.01260478827769	-1.50445350997212	-1.12009558323457	-0.753288040330245	-2.10771284445006	-1.29300034596301	-0.970646304794848	-1.4868381087014	-0.590340146607032	-0.547773243209716	-1.7901056998462	-3.39938024902671	-3.23771690299408
ABAT:::CCT	-0.467519920262504	-0.235291904028465	0.973731598409418	0.0378855717587401	1.09554836892957	0.643877272973762	0.18660328054474	-0.327217847915462	0.622982628464834	0.430387421640164	0.921704776368775	2.7182968291465	2.59154780866725	2.52534282287712	2.56592568734995	2.4381623804305	0.732542603828279	1.98620055806113	2.07741528046326	0.491517496750037	1.28110381569418	-3.22202207837567	-2.03304771248592	-1.62802468247157	-1.13291343090536	-1.79947930422667	-0.361448272589757	-1.71614428313743	-0.341060237500524	-0.405546155666157	-0.47166152682176	-1.23447791791333	-1.00652819322502	-1.09476924718943	-1.32737819205187	-1.16000575158433
ACACB_tv1:::AAG	-1.8123396631776	-1.89623149324786	-1.86197246358845	-2.03394154714742	-1.58248102485899	-2.02822579575902	-1.54822916225952	-2.79688702143158	-2.18010960308834	-2.26137965960251	-2.03864934643813	-1.25372682228311	-1.30097033449834	-1.33445603858295	-1.30605248903952	-1.38764607729311	-1.18265098603761	-1.90219425478203	-1.67284763503681	-1.78297094201975	-1.92070459046472	-5.63103793402326	-5.37829138349078	-4.84844215302922	-5.78302342464975	-5.16770774475293	-3.78802223955911	-3.63981749120487	-4.20564414614226	-3.62559733935198	-3.82463716569091	-3.67633509743856	-4.5342720572391	-5.14450982138866	-4.25721465925283	-2.55291334318616
ACACB_tv1:::CCT	-2.4844160825321	-2.52716975025693	-2.54011274881409	-2.58768119406078	-2.73414356742254	-1.77102119898415	-3.30883262663514	-3.02137646276606	-2.0938718416752	-2.60136322222224	-2.34073116640284	-1.55319157772629	-1.84473508272804	-1.80182092506737	-1.91544978328445	-2.09142527031131	-1.93947004848896	-1.84444121143826	-2.33195995532259	-2.91461905276888	-2.13143252374824	-5.36472500889546	-5.81369415797236	-5.66385402304346	-6.47532183822982	-5.80426068938343	-4.47375937760754	-4.42583160840396	-4.23293081347813	-5.12824558547796	-3.86658196002064	-3.35768373219376	-3.49863093306357	-3.78847822150795	-4.02563547668309	-4.7222971072548
ACACB_tv1ATG:::AAG	-2.06925267191112	-1.82675923277302	-2.17467171522702	-1.81517229069501	-1.80148550862425	-2.13989461046555	-2.81572344673889	-2.46168088861735	-1.35311770404283	-2.93845809223633	-2.86388148182871	-1.09389336706518	-1.22999732609904	-1.23114096265334	-1.25633659224825	-1.34225810522987	-1.44281028945533	-1.96963724044973	-2.06459526301802	-2.154380669124	-1.57587388192739	-5.5238568632047	-5.48101541031071	-5.03799438221809	-5.90046473400585	-5.68103048575219	-4.32966710863668	-3.61036655276835	-4.10509603761392	-3.89035062741485	-3.59453022726758	-4.54325041087122	-3.91562272102121	-4.26291262945757	-4.22474703970772	-3.95545173556533
ACACB_tv1ATG:::CCT	-2.25185716473661	-1.98707480070634	-2.34624214119469	-2.53392163825568	-2.48220734688272	-2.45659810221561	-2.57540605934586	-3.77093090332016	-2.54414572276633	-3.41904192128521	-3.46551816375009	-1.21448623509019	-1.59661735355763	-1.76761324514782	-1.84020437498586	-1.81699602073027	-2.14960058675861	-1.81552411518811	-2.42060787434262	-2.50572498562429	-2.16868956590123	-6.46969721639891	-6.29856767961305	-6.01671568530764	-6.43440513617943	-5.4439070561788	-3.78030194039966	-3.60168874508842	-4.60833808887198	-4.35279222461954	-3.77346461426848	-3.63376903525249	-3.44027537023849	-3.94228118116419	-4.38408984138369	-3.87301738192867
ACACB_tv2:::AAG	-1.98910925661012	-1.76557700601854	-1.39106596511203	-1.29203328162775	-1.69440856905971	-1.80628699980347	-2.60958992051616	-3.88957173509293	-2.7722801682626	-3.45867213598291	-4.17533216588087	-2.1680605029391	-2.41077485676177	-2.25915840072839	-2.15585222022039	-2.30321555089618	-1.30346717738807	-2.11746154847169	-1.78383724640313	-1.12055828757888	-1.44386977771703	-6.54757295720218	-4.87235200146693	-6.71451242951817	-8.17705455646045	-5.37786580790019	-5.51757997665266	-4.58268844343536	-5.28877294932169	-5.02485222220614	-5.31613931539184	-4.54443764996536	-4.78676223132068	-6.74780136984292	-4.10570480474827	-5.24708359288447
ACACB_tv2:::CCT	-1.50829729217078	-1.79026654910901	-1.33275280502288	-1.70575674200771	-1.44734064618385	-1.50901986392721	-2.83579593409542	-4.16780288695692	-4.74223204179656	-2.96273067836067	-3.27296251247894	-3.33297720256019	-2.88264275108886	-3.10940633059058	-3.12249454490182	-3.12111492108657	-1.39729715615325	-1.56639260235939	-1.18855817723242	-1.20249397069783	-1.33498724100607	-8.30174148370165	-6.43100342147238	-6.7444076100363	-5.9919968326781	-7.74359496298793	-5.74869545579753	-5.08008431561979	-5.46437141666531	-5.86651046343249	-5.41239671779523	-5.0635519041373	-5.17078963540418	-5.2171529915659	-6.40895334696099	-6.35694231665659
ACMSD:::AAG	-4.41128990448011	-2.42846728030765	-2.67289105786134	-2.62771116524691	-2.38143134946834	-2.81016068341185	-4.02905134345879	-4.05071913253902	-2.45276336704323	-2.42409659311055	-3.79716274359147	-0.341392567060225	-0.290227678511287	-0.484573454666509	-0.479230720934732	-0.507725764029637	-3.62345828668118	-4.09259629208085	-3.8665960649876	-1.13295412427189	-1.4540544502941	-5.08192076776837	-5.93692478278094	-4.87018617105252	-6.92916176225573	-6.58943031234195	-4.4708361761505	-4.25780554331132	-4.02626285588474	-3.78526381100299	-4.83090163038517	-5.67299345536113	-2.68362413107556	-3.50725434105878	-4.19583788484141	-6.92916176225573
ACMSD:::CCT	-3.70375938785641	-3.35742299013984	-3.10655284132804	-2.63292715670385	-4.37080164334194	-4.26684260479376	-5.517299532945	-5.38758080598018	-5.54578566710663	-4.6383741043064	-3.4332662697285	0.0581418923423358	-0.0332646835598339	0.00771034728416268	0.0421995535079534	0.0384794610051402	-3.36793762968201	-3.23014166119291	-3.15001597315843	-3.54644086205214	-3.36318982227922	-4.98804441917105	-6.11238670884817	-5.72572521601056	-5.04560568398602	-6.51799548182686	-3.79268192312113	-6.05804399453254	-3.17610567321915	-3.7213442317286	-4.12734367265674	-4.28746056586866	-4.52859565439072	-5.92061628184254	-6.68590899642635	-4.55390095791342
ACSM2A:::AAG	-3.11200296909351	-1.76710876022815	-2.52331615152375	-2.77087126113961	-2.31304555463422	-3.09900338101369	-0.279993085771847	-2.73894758629454	-3.40772742714824	-1.79363774822558	-2.43948021767448	-0.229453621313831	-0.219288944674908	-0.108973864369615	-0.192819515622876	-0.175196534412265	-2.10695963236045	-2.13201920903382	-1.61221597250166	-2.49455938231636	-2.1575239625933	-4.78033958962456	-5.20658119079968	-6.57987106313751	-6.10795911180484	-5.13545358439428	-4.05955933201016	-4.69455692402478	-3.4867122875174	-3.62977506544051	-4.40518937240725	-4.7338279074568	-3.98049833750321	-4.1360410346807	-4.22867359944998	-3.93956520056935
ACSM2A:::CCT	-2.97594574035761	-2.7263569558951	-3.39846430701507	-3.37625388664741	-3.4463636518454	-3.16105845302179	-2.36237745164601	-2.93075899428994	-3.27251958034703	-2.69120113038042	-2.48708530062866	0.535190209452968	0.38560023300315	0.451319837095144	0.407597092354996	0.429212092726655	-1.93687830075397	-3.18032952294194	-2.65162298343447	-1.01816982285423	-2.04916867381313	-6.30027375736028	-5.23546135512372	-5.32394979837938	-5.63501443722393	-5.25857945540139	-4.63364255598252	-3.81687927859954	-2.80352382382776	-3.51266233238527	-3.55811650099866	-4.66569670555518	-3.84554312031014	-4.55097056074665	-4.16940390576966	-3.67910085577268
ACSM2B:::AAG	-2.86638484852135	-3.53225062514688	-2.71112514582343	-2.91891916358578	-2.91464870135691	-3.29500070170605	-2.65121436596084	-1.56127884918505	-2.7741018989387	-2.73254350542018	-2.85047002640993	-0.310722082614737	-0.288633726852916	-0.295785326725866	-0.281217596295077	-0.327083559028595	-1.64492544549138	-2.04570880035609	-1.53928566894623	-1.55681515017731	-2.17089148414148	-6.45083727069561	-6.05423398609411	-6.12419579766419	-7.61666814205751	-5.20509619947094	-4.85867682108632	-4.86545201201101	-3.46783817111115	-4.9010073054161	-3.70787480427617	-4.6056125086558	-5.26623641592679	-4.66198031015134	-4.34603657038962	-4.47919634355959
ACSM2B:::CCT	-3.60553958907841	-3.1552740742565	-3.23708022976259	-2.99185474174093	-3.18937563474822	-3.3194905607106	-0.80686648701376	-3.59937847866531	-2.73554744308905	-2.96944662074342	-3.18214750905199	0.402199055307794	0.3439218818245	0.343191511455709	0.273260512458907	0.339778601406394	-1.72164376834299	-2.61477473937812	-2.66634964586817	-1.90941965678802	-2.61739131884888	-6.08869960250454	-5.670674459024	-6.02137535168622	-7.09639030710256	-4.95512755546582	-5.85444859290333	-4.61610988964666	-2.88418388407236	-3.73282552231601	-3.43939361779265	-6.0409059515296	-5.28407542222711	-3.95946759360181	-4.13377265270367	-5.58527799602408
ACSM5:::AAG	-2.50654776713107	-2.20869363468802	-1.93318490080958	-2.16160473490754	-2.40679649457715	-2.13218054166197	-1.91165689357974	-1.74099061137318	-2.18607696926528	-2.30708572904239	-2.36818700840177	-1.11866185326663	-1.08674620523812	-1.05404291517086	-1.09900666306479	-1.00999906052566	-1.67564065567311	-1.71039672741128	-1.69972757655105	-1.62996964418391	-1.73718088473964	-5.2865966299839	-5.40806851329161	-6.58207328442897	-5.24631289644825	-4.62131882035213	-3.90660398085365	-3.93384063659395	-4.29229775446161	-4.00228246168722	-3.85065846079143	-4.2013372843379	-4.36993188294526	-3.43185704441058	-4.04028067593558	-4.13995632330668
ACSM5:::CCT	-2.94498367118621	-2.75570071095714	-2.62678292121251	-2.64686395643836	-2.62248615150117	-2.87949893162145	-2.18679669808923	-2.4598862614178	-2.63133793841964	-2.81873018912962	-2.33105539003142	-1.16642101466028	-1.12007919253435	-1.2108789123644	-1.22069545417671	-1.18014468503606	-2.37204717390989	-1.83391951226805	-1.79917171904022	-2.27754663545569	-2.35862421878736	-5.82939401010919	-6.55018442016485	-6.2085472930431	-7.07363432000831	-6.29067627457891	-4.46059084573414	-4.34043953733008	-4.19194018293167	-4.29572792819622	-4.01720925334256	-4.11399549781075	-3.68998779691429	-4.27998265591276	-5.05067605963485	-5.15656525119242
ACTA1:::AAG	0.912207084723197	0.910954264041637	0.796247317890795	1.32391620416281	0.890940154438352	0.622919012183748	3.10484438544192	3.04950469006645	3.34790621969923	3.45748260102864	3.17791706854573	-0.427201410770015	-0.473125780551812	-0.314887603456434	-0.331555888673431	-0.369372635107033	2.89511047178816	2.7991332345622	2.70132403243443	2.57545573436059	2.86292431592485	-2.8051296858544	-4.02983358042225	-3.79701213587602	-3.9114445120926	-4.17515849767435	-1.96925285750428	-1.85890338791514	-3.12947072486987	-2.80596425874692	-1.9002100512398	-1.36408404960019	-2.1006626915913	-3.31297288472519	-1.81815937586685	-1.6083014156196
