L_1	L_2	L_3	L_4	L_5	L2_1	L2_2	L2_3	L2_4	L2_5
ALB_enh_human	-0.0657616631776247	0.266184147383975	-1.18627352077497	-0.606016897005108	-1.22800855454081	1.01249997604401	1.30372504012365	0.0209889282061069	0.211432088274688	0.0123512939898972
Alb_enh1_mouse	0.653526745892864	0.845181053495517	0.834605183465983	0.960284360171031	0.686225634211621	0.741902574645246	0.806541354964415	0.825232804193079	0.813063117151471	0.763020072023881
Alb_enh2_mouse	1.39088934013848	1.70221877540406	1.27057974846042	1.70782943885426	1.45214168409077	1.3812309869899	1.44575821539629	1.09246166626641	1.4113345885141	1.49545859326314
aMHC_enh_rat	-0.813447515556501	-0.964703261683721	-1.12418128865158	-0.554582669794011	-0.633997795397689	-1.42324227901748	-1.83421724312734	-1.81267806172944	-1.32769512388221	-1.08869605908496
chr1:100177855-100178119	-2.46614955734608	-1.05867958218295	-1.85769126621013	-1.07024716695528	-1.94068787620265	0	0	0	0	0
chr1:100279879-100280143	0.517764866410244	0.71927239724185	-0.644261373460453	-0.0825225139379368	0.837858675709576	0.922261778766651	0.961743437905647	-0.293340289926288	0.0822000593864798	0.909907977044619
chr1:100351402-100351666	-0.639144813081182	-0.0574608481629741	0.149996862369128	0.658975978790562	0.271992397948452	-0.666300243704405	-0.641257163050117	-0.0953859337065878	0.355682436189669	-0.074850089111909
chr1:1006104-1006368	0	0	0	0	0	-0.975061654508046	-0.269311214816535	0.336495340938674	-0.0169052444725517	0.0983473792712877
chr1:101150776-101151040	-2.04332726587918	-2.36341450325967	-2.06900191866411	-2.49546020010817	-2.94893330677859	-1.43409853082017	-1.96661824177586	-1.53617126707411	-1.95500889720873	-2.46956592944375
chr1:101187079-101187343	0.229691917966814	-0.0294826781139257	0.409766905113434	0.262410802885351	0.873070988051959	0.550529326574169	0.177626105283979	0.658676957202014	0.347389950711849	1.1829867515716
chr1:101203926-101204190	-1.24635024423146	-0.265977464768641	-0.380383064484433	-0.845496753050354	0.0653569395389553	-1.13745162749738	-0.410716894406093	-0.289066807774338	-0.998220071681678	0.214220535063209
chr1:101236192-101236456	0	0	0	0	0	-0.250513651864275	0.0781245260443079	0.013536799507827	0.0454268481787345	0.307254318203306
chr1:101262535-101262799	-2.03627352435684	-0.521408220888423	0.966942310420128	-1.01790427780716	-0.564318548749681	-1.73330658072702	-0.294788185620064	1.18452113682308	-0.576352873027014	-0.398455008508916
chr1:1013555-1013819	-0.881497675080359	-1.85672716592656	-0.705858791126062	-1.283844843029	-1.78555336358348	-1.96353536584368	-3.1476507041203	-1.68116037577695	-2.32136039956309	-2.32365225040321
chr1:10155423-10155687	-0.115899860277914	0.593908360638131	0.87961912922758	0.950378694951274	0.691857567973314	-0.34180417828099	-0.263080007812356	0.398099704119306	0.386432233979613	0.501253832988373
chr1:10186673-10186937	-1.33309400843152	-1.42095939361632	-2.51131882923548	-1.35395220121474	-1.70873114817998	0	0	0	0	0
chr1:10204230-10204494	-2.03391058772799	-1.59355720490103	-1.81733685492304	-1.76939783757301	-2.29506441954396	-1.75529308777387	-1.6859015327752	-1.78026476188457	-1.86900723348923	-2.17200181053749
chr1:10310387-10310651	-3.33399538009659	-2.44867054601582	-2.90578801060469	-2.82094299929852	-3.29976506755184	0	0	0	0	0
chr1:10706266-10706530	-3.14109802129923	-3.73892982265313	-2.26307224692633	-3.43677307824419	-3.84096589064517	-3.41197954099806	-4.23445745114151	-2.61113273974786	-3.83072726711411	-3.91654672715379
chr1:10746324-10746588	1.0250728630684	1.15770767080769	0.896021445614708	1.15624479454194	1.25745053518778	0.87738386731362	1.1590183316723	0.656947671977203	0.653335449709447	1.06359596723194
chr1:108182241-108182505	0.296806768455572	-0.623506163595982	-0.341904989285314	0.173009625024677	-0.630293817580484	0.957077118233882	0.268318091399596	0.442330146842707	0.93433819857752	0.293180858297122
chr1:10856627-10856891	0	0	0	0	0	-0.328421515245152	-1.44527938996525	-0.951898991861924	-0.0997017286248541	-0.442515525907337
chr1:109207623-109207887	-0.0160416937539021	1.03941714932476	-0.530974106538263	-0.850285663956822	-1.5745861963463	-0.0704577887149172	0.753058541716815	-0.609731165105328	-1.18186764599225	-1.67587782891922
chr1:109306705-109306969	-0.266259052490712	-0.595256767151338	-0.133366946107072	-0.405299381954525	-0.135406710840215	-0.300618409916646	-1.06742051028491	-0.365581171693616	-0.920447312736257	-0.354827246116044
chr1:10957448-10957712	0.468895683136742	-0.799737501052568	-0.138886659683157	-0.188608927550599	0.697016542557933	-0.270784552543363	-1.79926406048781	-0.936049842973914	-1.22025652345707	0.434742083037768
chr1:109896189-109896453	-0.00544011268070722	-0.00249812127134468	0.434413644078201	1.12678221880143	0.204565229653049	-0.722666545450728	-1.15681735325716	-0.520109345618867	-0.0819928312055238	-0.208263742267815
chr1:109899224-109899488	-2.09052447716971	-2.68991068395801	-1.86974105750765	-1.98730876591694	-1.90049105561725	-1.85759671285973	-2.87026686180749	-1.75599119281465	-1.9782859059248	-1.9212407852835
chr1:11046590-11046854	-0.0117836873655225	0.513149126676524	1.70846494330253	0.63111331848443	0.963240308880206	-0.876063255650551	-0.407330495830176	0.964309995941612	-0.388619370304598	0.174959206531789
chr1:110718271-110718535	-1.89350776678484	-1.50417729978988	-2.29246176105486	-1.54082377476397	-2.12743651305526	-1.69202176682296	-1.48484981345471	-2.14807110790467	-1.49625212092729	-1.98802221318349
chr1:111467908-111468172	-1.53294155922389	-1.76120578273707	-1.70585381634959	-1.28530887370628	-1.91029880256604	-1.47212013295683	-1.94846373902151	-1.67958705316346	-1.56817104307492	-1.93678300483578
chr1:111743498-111743762	2.11298670764122	0.450178262951927	1.08963791588429	-0.0887811034965122	-0.672772802307182	1.96056816627541	0.180985452694012	0.791790047168379	-0.703111454868864	-1.01960918396812
chr1:111801430-111801694	0	0	0	0	0	-0.328517052504284	-0.501403109266636	-0.211246178383796	-0.859077017086457	0.0341673122921883
chr1:111846747-111847011	-0.0198777935464481	0.115812199766075	-0.224696184417447	0.152789323032946	-0.236878202885905	-0.230282217994529	-0.339176904862631	-0.557178765520251	-0.341815540647997	-0.51374386175622
chr1:111850362-111850626	-0.15116285534441	-0.650883563736044	0.247340549172106	-1.02994059177398	0.590550151996417	-0.357228684055101	-1.47326987598954	-0.263223456495997	-1.58849105103048	0.281024457049291
chr1:111851885-111852149	-0.987838171065146	-0.92921489690079	-0.858209460780608	-0.83990105542437	-0.786464291014871	-1.12896525506901	-1.32368577018012	-1.18314814641157	-1.27280763261929	-0.883265319696799
chr1:111862984-111863248	-0.389917220912695	-0.0297920742781053	-0.0732479646623484	-0.508930708957535	-0.16128207414445	0.147842904964246	0.137615112108035	0.260230207326058	-0.239286458409091	0.287192954046855
chr1:111904171-111904435	0.465017904618574	1.38045311411719	0.628226927668552	0.785319998147916	1.54364847556026	0.058653722033139	0.458906947128641	0.14361071942746	0.0729572704635434	0.989465696078816
chr1:112056150-112056414	0.599665131073339	0.309825498454333	0.382017064673653	0.471542277566128	0.519014946603919	0.608509144189492	0.165080802956513	0.250510015456343	0.299515851540165	0.503084228903715
chr1:112518039-112518303	-2.09016752186553	-1.41580365300711	-2.03525043802164	-1.74797735506171	-1.65579909237713	-2.1352788036832	-1.51654675762542	-2.08372889284235	-1.84425006460677	-1.60065380348673
chr1:11267413-11267677	-3.1424863220534	-3.37674312167764	-3.65222015283897	-2.55475116904843	-3.34081853163314	0	0	0	0	0
chr1:112964489-112964753	0.0901862875859231	0.197488545840784	0.153390300872788	1.0252389320063	0.488795150725023	0.61090138573255	0.584601650354171	0.563553043509207	1.27781123331287	0.699119693600575
chr1:113029689-113029953	0.110717822966584	0.733963133050636	0.81212780752201	0.363303944987473	0.456919962105689	0.0954586900437068	0.52890195428328	0.621706987319039	0.176278009342042	0.453375481264516
chr1:113089264-113089528	-1.13650568267689	-0.746934369650835	-1.28795489841536	-0.847650072742059	-1.41253888926778	-0.755948251506375	-0.426493325185799	-0.938804275759733	-0.372325261921151	-1.04028842510492
chr1:113759576-113759840	0.775869085376393	1.61293491679288	0.734063323453089	0.998124178762389	0.841368149496219	0.0785255094178246	0.753378279286593	-0.18166302721129	0.00720896078628513	0.44627327983076
chr1:113794636-113794900	-0.675569184480947	-0.61952161132608	-0.746095738876431	-0.588377668057307	-0.717498040695023	-0.379254378296342	-0.451794342002975	-0.49677599882319	-0.494794665105999	-0.506697936040116
chr1:113991265-113991529	-2.68275025603688	-1.16811392623319	-2.77110684028906	-1.90180840776247	-2.45502431163388	-1.43003420979749	-0.281298679675165	-1.5773946452041	-0.791628028124846	-1.62639796192505
chr1:114251521-114251785	-0.0365032388550857	0.146397896775262	-0.0804201408835249	0.268757999860279	-0.0473063364733689	-0.109526369575213	-0.108762912401723	-0.25862382196848	-0.0148040102128812	-0.116586809132586
chr1:114259847-114260111	-2.08411707049086	-1.56347505404919	-1.54181565480373	-1.82735906925646	-1.99056041726584	-1.59670003380447	-1.17016274247183	-1.09979591509452	-1.50902712338472	-1.82721353107722
chr1:114581281-114581545	-0.983747522735308	-0.305543374374868	-0.433320380833107	-0.317110959147206	-2.00271483078126	0	0	0	0	0
chr1:114597703-114597967	0.00240468068089394	0.864954395514	0.128782920223085	1.02192493671178	0.128725692553157	0.375398275962721	1.12763107214961	0.102480571335099	1.37963584326164	0.102049413260662
chr1:114685636-114685900	-0.334194829629573	-0.0462748861033323	-0.362024501427288	0.148736645431039	-0.109754662139092	0.0150253515290027	0.162569077193844	0.0277991642281256	0.492586213678543	0.305079378516976
chr1:114691258-114691522	-0.685436859796544	-0.444285247660085	-0.981021502989878	-0.520304774447221	0.288878879897849	-0.884618137045025	-0.60645498066615	-1.30762375815455	-0.73013280143265	0.531487190099967
chr1:114695294-114695558	-1.50638932917382	-0.480130546756854	-2.20847507057826	-1.036890243931	-1.09221569070612	0	0	0	0	0
chr1:114703594-114703858	-3.03876344738987	-2.40485320965121	-2.09357797212258	-2.38739158120126	-2.8303085164411	-2.02166820631514	-1.52623411936478	-1.0889125817545	-1.25953015803825	-1.75568928949271
