L_RNA1_ratio_scaled	L_RNA2_ratio_scaled	L_RNA3_ratio_scaled	L_RNA4_ratio_scaled	L_RNA5_ratio_scaled
Alb_enh1_mouse	0.653526745892864	0.845181053495517	0.834605183465983	0.960284360171031	0.686225634211621
Alb_enh2_mouse	1.39088934013848	1.70221877540406	1.27057974846042	1.70782943885426	1.45214168409077
ALB_enh_human	-0.0657616631776247	0.266184147383975	-1.18627352077497	-0.606016897005108	-1.22800855454081
aMHC_enh_rat	-0.813447515556501	-0.964703261683721	-1.12418128865158	-0.554582669794011	-0.633997795397689
chr10:100100876-100101140	1.04889418793987	1.24430468264163	1.40688574400058	1.34829047474587	1.43964218911803
chr10:100517227-100517491	0.328288824075005	0.559617479771739	0.391828985576785	0.28053198602252	0.257302991391895
chr10:101447198-101447462	-4.15497942215467	-4.29030541978645	-3.57232406197301	-4.62359241428189	-3.49143096605492
chr10:101859325-101859589	-0.904901191422302	-0.429060691131228	-1.57694260767674	-0.800355061283223	-0.604358922014028
chr10:101894439-101894703	1.24322738206782	0.259313230878104	0.507913920204922	1.00044987797494	1.04974421262135
chr10:1022752-1023016	-1.34605880630713	-1.9397166501962	-1.02746122421219	-1.17267108407328	-1.07957240698806
chr10:102291535-102291799	-0.346210771790107	0.676234922430244	-0.0581288514827385	0.180517791198631	0.30070957454636
chr10:102327315-102327579	-2.98815997661286	-3.56566961289156	-3.81771390694443	-3.76037696121386	-4.14790276479375
chr10:102335490-102335754	-0.395542530216627	-0.00990456097460425	-0.369311757769334	-0.238146010430458	-0.336810841907025
chr10:1024531-1024795	-0.809581461097857	-0.314813279535907	1.15341098464231	-0.78561151305556	-1.35798672718988
chr10:102479393-102479657	-0.182104033752133	0.575849045075992	-0.137029519263539	0.565855234190258	0.0277039352733835
chr10:1026367-1026631	-0.0995255303540508	0.468521125253405	0.196191143830331	1.29451495766406	0.643231753476176
chr10:102815761-102816025	-3.1547705130104	-2.72103041943518	-1.99772524077641	-1.91661621143296	-2.14787595858109
chr10:102849732-102849996	-0.270471251683343	-0.272328534586193	-0.411574409336379	-0.28320897549655	-0.179583410588479
chr10:103057809-103058073	0.325298257285608	0.715671734096572	1.06347849833098	0.932186817393916	0.573803488317236
chr10:103133253-103133517	-1.80469668547036	-0.844037738169378	-1.88326856104875	-1.76144128556016	-1.16012114361566
chr10:103580274-103580538	-0.977818324764003	-0.418570913127895	-0.296711754871375	-0.0773700319228445	-0.0126719313004403
chr10:103751433-103751697	-0.863136678026171	-1.01625946570122	-0.864621419354401	-0.929798994650953	-0.87252498679777
chr10:104121431-104121695	0.253113248283971	0.126038637163624	1.05695887828525	0.141148989941188	0.336152135493894
chr10:105743177-105743441	-1.41681869418964	-0.592438299865724	-0.919372419605424	-1.11115876290242	-0.850074814213571
chr10:106216300-106216564	-0.240610810339091	-0.256280245482626	-0.345015305818873	-0.53493056797892	-0.255013979759114
chr10:10624441-10624705	-2.09783886412059	-2.07448489065635	-1.28413476562838	-2.55028582775368	-1.65742507829857
chr10:10644542-10644806	-0.40954484557565	-0.292349393425154	1.7860275941696	-0.61902551893652	-0.141103417080008
chr10:107054843-107055107	-1.64822229919848	-1.62560117614965	-1.41724048503735	-1.75854210411844	-1.24982295699216
chr10:10792465-10792729	-2.26992791755091	-2.13136208362326	-2.44677104188819	-1.3903125398331	-2.58236232587206
chr10:108578538-108578802	-2.372479517761	-1.59534443952833	-2.75566987946462	-2.19784525604196	-1.93330195548749
chr10:110176002-110176266	0.388190863788843	0.591165376438948	0.7621061618329	0.239583035873407	0.475373601990478
chr10:11029487-11029751	-1.20497822355459	0.438036124287464	1.00370901683304	-0.00882094514961298	-0.358546825751306
chr10:11035135-11035399	-0.711019408859769	-0.619935403231429	0.0906724160720815	-0.688036584492333	-0.401080582308686
chr10:11045721-11045985	-1.36348942997104	-0.839763363761236	-1.29603083481478	-1.60300807113202	-1.34399532064536
chr10:110609953-110610217	-0.286419870852885	0.599415019914949	-0.384349747046039	0.0849009606159118	-0.130717291318041
chr10:110630200-110630464	-0.142149517396343	-0.128346243986929	-0.320030216574578	0.548450810591758	0.54303434541501
chr10:110658477-110658741	1.33464135443732	1.49633074841517	1.14501102239303	1.35391328873407	1.22882060408999
chr10:110691835-110692099	0.245733173565779	0.218334717476982	-0.234908373261221	0.768737351440496	0.25465282855224
chr10:110698668-110698932	-0.124325108755493	-0.371472017592663	-0.57072173060909	-0.261069615690278	-0.809771986069701
chr10:110709178-110709442	-0.267928699554175	-0.762136785259387	-1.23582549901093	-0.41748732050675	-1.09159979772465
chr10:110712451-110712715	-1.49660446148221	-0.39736469091653	-1.77692919931189	-0.459046251527166	-0.810454927753802
chr10:110717831-110718095	0.971096662918391	-0.992613539663165	1.76074316491137	0.146510914833778	-1.01410128269017
chr10:110721261-110721525	0.34352129607696	0.545158907748517	0.374528008058973	0.28513462567867	0.601490037709698
chr10:110725377-110725641	-0.0216738460704921	0.564843329151521	-0.0207887970522066	0.290072100857402	-0.130311502476974
chr10:110738758-110739022	-2.36558595757283	-2.2174453740423	-1.66849508665232	-1.46823426987969	-2.31948144203434
chr10:110764593-110764857	-0.00572015056643014	0.402263693080242	-0.0946064226998947	-0.181824019582879	0.131216646818655
chr10:110781006-110781270	0.472036218888736	1.01691519126325	1.11144335492248	1.09564121441253	0.649992721517273
chr10:110810096-110810360	-0.869521008450932	-1.40333911502496	-1.43780945647296	-1.08025556790682	-1.48944381627333
chr10:11118419-11118683	-0.644874068839295	-0.313505345861188	0.822386025419668	0.235457423590193	-0.0847872918414845
